START-OF-LOG: 3.0
CATEGORY: Portable, multi operator, low power, assisted
CONTEST: FD SSB
SPECIFIC: H42
CALLSIGN: DK0AU/P
LOCATION: DX
CLAIMED-SCORE: 79356
CREATED-BY: HAM OFFICE (REL.6.295.5) HTTP://WWW.HAMOFFICE.DE, modified by DXHF upload.
CLUB: DARC H42
OPERATORS: DL8SEE, DL6EB, DL4LB, DL7RDH, DD0WQ, DO1KMR, DD9OZ, DL5OP, DL8OAZ
QSO: 7000  PH 2023-09-03 1225 DK0AU/P       59  303               DK0RA/P      59  543
QSO: 7000  PH 2023-09-03 1226 DK0AU/P       59  304               DM3F/P       59  707
QSO: 7000  PH 2023-09-03 1229 DK0AU/P       59  305               HB9BC/P      59  327
QSO: 7000  PH 2023-09-03 1234 DK0AU/P       59  306               ON6WL/P      59  733
QSO: 7000  PH 2023-09-03 1238 DK0AU/P       59  307               HB9CL/P      59  528
QSO: 7000  PH 2023-09-03 1240 DK0AU/P       59  308               OZ1KLB/P     59  126
QSO: 7000  PH 2023-09-03 1242 DK0AU/P       59  309               OR4D/P       59  459
QSO: 7000  PH 2023-09-03 1245 DK0AU/P       59  310               DR5W/P       59  595
QSO: 7000  PH 2023-09-03 1248 DK0AU/P       59  311               DL0LA/P      59  705
QSO: 7000  PH 2023-09-03 1251 DK0AU/P       59  312               DK0B/P       59  795
QSO: 7000  PH 2023-09-03 1256 DK0AU/P       59  313               DH1O/P       59  662
END-OF-LOG:
