START-OF-LOG: 3.0
CALLSIGN: IZ5JLF
CONTEST: CQ-WPX-SSB
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: QRP
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY: TB-WIRES
CLAIMED-SCORE: 215626
NAME: bramanti claudio
LOCATION: DX
CLUB:
CERTIFICATE: NO
CREATED-BY: QARTest 5.1.1
SOAPBOX: MP-1 and KX3....heavy job...i am without voice 73 claudio IZ5JLF
QSO: 14000 PH 2016-03-26 2128 IZ5JLF        59     203 VA2EW         59     776
QSO: 14000 PH 2016-03-26 2129 IZ5JLF        59     204 HI3K          59    1412
QSO: 14000 PH 2016-03-26 2131 IZ5JLF        59     205 NZ3D          59    1603
QSO:  7000 PH 2016-03-26 2150 IZ5JLF        59     206 G2F           59    2087
QSO:  7000 PH 2016-03-26 2152 IZ5JLF        59     207 RK4FD         59    2399
QSO:  7000 PH 2016-03-26 2154 IZ5JLF        59     208 5E5E          59    1022
QSO:  7000 PH 2016-03-26 2157 IZ5JLF        59     209 I5IIL         59     012
QSO:  7000 PH 2016-03-26 2159 IZ5JLF        59     210 UP0L          59    2443
QSO:  7000 PH 2016-03-26 2203 IZ5JLF        59     211 EW2W          59     722
QSO:  7000 PH 2016-03-26 2205 IZ5JLF        59     212 SX9C          59     791
QSO:  7000 PH 2016-03-26 2208 IZ5JLF        59     213 UT5C          59     458
QSO:  7000 PH 2016-03-26 2209 IZ5JLF        59     214 RM6C          59    1015
QSO:  7000 PH 2016-03-26 2210 IZ5JLF        59     215 C4A           59     731
QSO:  7000 PH 2016-03-26 2211 IZ5JLF        59     216 EI6JK         59     887
QSO:  7000 PH 2016-03-26 2215 IZ5JLF        59     217 EU5C          59     520
QSO:  7000 PH 2016-03-26 2217 IZ5JLF        59     218 EV1R          59    1291
QSO:  7000 PH 2016-03-26 2224 IZ5JLF        59     220 CR6P          59     420
QSO:  7000 PH 2016-03-26 2226 IZ5JLF        59     221 CN2AA         59    1325
QSO:  7000 PH 2016-03-26 2228 IZ5JLF        59     222 UW2M          59    2369
QSO:  7000 PH 2016-03-26 2231 IZ5JLF        59     223 YL2SM         59    1710
QSO:  7000 PH 2016-03-26 2232 IZ5JLF        59     224 LY9A          59    1548
QSO: 21000 PH 2016-03-27 0721 IZ5JLF        59     225 RZ8U          59     372
QSO: 21000 PH 2016-03-27 0722 IZ5JLF        59     226 RA0AM         59     249
QSO: 21000 PH 2016-03-27 0723 IZ5JLF        59     227 RZ9UO         59     198
QSO: 21000 PH 2016-03-27 0724 IZ5JLF        59     228 RJ4P          59    2701
QSO: 21000 PH 2016-03-27 0725 IZ5JLF        59     229 E44YL         59     789
QSO: 21000 PH 2016-03-27 0728 IZ5JLF        59     230 JR5YCE        59    1303
QSO: 21000 PH 2016-03-27 0729 IZ5JLF        59     231 UA4S          59    1707
QSO: 21000 PH 2016-03-27 0730 IZ5JLF        59     232 JA7NVF        59    1236
QSO: 21000 PH 2016-03-27 0731 IZ5JLF        59     233 RU4SO         59     043
QSO: 21000 PH 2016-03-27 0734 IZ5JLF        59     234 JE1ZWT        59     858
QSO: 21000 PH 2016-03-27 0736 IZ5JLF        59     235 UC8U          59    1027
QSO: 21000 PH 2016-03-27 0738 IZ5JLF        59     236 JA7QVI        59     546
QSO: 21000 PH 2016-03-27 0739 IZ5JLF        59     237 RC9O          59    2595
QSO: 21000 PH 2016-03-27 0740 IZ5JLF        59     238 JH4UYB        59    1704
QSO: 21000 PH 2016-03-27 0742 IZ5JLF        59     239 JA3YBK        59    1239
QSO: 21000 PH 2016-03-27 0746 IZ5JLF        59     240 JG3RPL        59     419
QSO: 21000 PH 2016-03-27 0751 IZ5JLF        59     241 JR4OZR        59    1228
QSO: 21000 PH 2016-03-27 0759 IZ5JLF        59     242 RQ4C          59     657
QSO: 28000 PH 2016-03-27 0806 IZ5JLF        59     243 A65BP         59    2480
QSO: 14000 PH 2016-03-27 0810 IZ5JLF        59     244 EC1DD         59     658
QSO: 14000 PH 2016-03-27 0814 IZ5JLF        59     245 OH6RE         59     504
QSO: 14000 PH 2016-03-27 0818 IZ5JLF        59     246 UP0L          59    2799
QSO: 14000 PH 2016-03-27 0819 IZ5JLF        59     247 YL1ZX         59     960
QSO: 14000 PH 2016-03-27 0820 IZ5JLF        59     248 RU1M          59     710
QSO: 21000 PH 2016-03-27 0829 IZ5JLF        59     249 JF9JTS        59     632
QSO: 21000 PH 2016-03-27 0832 IZ5JLF        59     250 JR3RIY        59     395
QSO: 21000 PH 2016-03-27 0841 IZ5JLF        59     251 UT7HA         59     968
QSO: 21000 PH 2016-03-27 0844 IZ5JLF        59     252 UI3A          59     729
QSO: 21000 PH 2016-03-27 0846 IZ5JLF        59     253 UY1IP         59     609
