START-OF-LOG: 3.0
CONTEST: CQ-WW-SSB
CALLSIGN: GM2T
LOCATION: DX
CATEGORY-OPERATOR: MULTI-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: TWO
CATEGORY-STATION: FIXED
CATEGORY-OVERLAY: 
GRID-LOCATOR: IO85SX
CLAIMED-SCORE: 4905120
NAME: Bob Glasgow
OPERATORS: GM4UYZ MM0DXC MM0VPR MM0CCC MM5AHO M0RNR MM0NBW 2M0EGH M0THL GM4GZW
OPERATORS: MM0XAB 2M0ILZ 2M0PGO
CLUB: COCKENZIE AND PORT SETON ARC
CREATED-BY: Win-Test 4.47.0
SOAPBOX: Another fantastic contest enjoyed by all. The weather from start to finish
SOAPBOX: was a howling gale and torrential rain.
SOAPBOX: We also got the chance to introduce two people to contesting, father and
SOAPBOX: son (13 years old). They are both recently licensed and took to operating
SOAPBOX: like ducks to water. Great additions to our contest team
QSO:  1860 PH 2023-10-28 0136 GM2T   59   14 SP5ELA 59   15 1
QSO:  1889 PH 2023-10-28 0137 GM2T   59   14 DK7R   59   14 1
QSO:  7090 PH 2023-10-28 0137 GM2T   59   14 EA8DEG 59   33 0
QSO:  1889 PH 2023-10-28 0138 GM2T   59   14 EI5LC  59   14 1
QSO:  1889 PH 2023-10-28 0138 GM2T   59   14 RU1A   59   16 1
QSO:  7085 PH 2023-10-28 0138 GM2T   59   14 YP8T   59   20 0
QSO:  1889 PH 2023-10-28 0138 GM2T   59   14 RL3A   59   16 1
QSO:  7081 PH 2023-10-28 0138 GM2T   59   14 S57O   59   15 0
QSO:  7079 PH 2023-10-28 0139 GM2T   59   14 EA2W   59   14 0
QSO:  1889 PH 2023-10-28 0139 GM2T   59   14 OH5Z   59   15 1
QSO:  7071 PH 2023-10-28 0139 GM2T   59   14 HA7A   59   15 0
QSO:  1889 PH 2023-10-28 0139 GM2T   59   14 LZ5R   59   20 1
QSO:  1889 PH 2023-10-28 0139 GM2T   59   14 E7DX   59   15 1
QSO:  7061 PH 2023-10-28 0139 GM2T   59   14 HA6NL  59   15 0
QSO:  1889 PH 2023-10-28 0139 GM2T   59   14 M5DX   59   14 1
QSO:  7059 PH 2023-10-28 0140 GM2T   59   14 IQ4CT  59   15 0
QSO:  1889 PH 2023-10-28 0140 GM2T   59   14 DM7XX  59   14 1
QSO:  1889 PH 2023-10-28 0140 GM2T   59   14 SN7D   59   15 1
QSO:  1889 PH 2023-10-28 0141 GM2T   59   14 SQ7BFS 59   15 1
QSO:  1889 PH 2023-10-28 0141 GM2T   59   14 SJ2W   59   14 1
QSO:  7065 PH 2023-10-28 0141 GM2T   59   14 OH5Z   59   15 0
QSO:  1889 PH 2023-10-28 0141 GM2T   59   14 DF6QV  59   14 1
QSO:  1889 PH 2023-10-28 0141 GM2T   59   14 HF7T   59   15 1
QSO:  1889 PH 2023-10-28 0142 GM2T   59   14 HA3DX  59   15 1
QSO:  1889 PH 2023-10-28 0142 GM2T   59   14 DL7URH 59   14 1
QSO:  1889 PH 2023-10-28 0142 GM2T   59   14 II2S   59   15 1
QSO:  1889 PH 2023-10-28 0143 GM2T   59   14 9A9R   59   15 1
QSO:  1889 PH 2023-10-28 0143 GM2T   59   14 LY7T   59   15 1
QSO:  1889 PH 2023-10-28 0143 GM2T   59   14 DR0W   59   14 1
QSO:  1889 PH 2023-10-28 0144 GM2T   59   14 LY7T   59   15 1
QSO:  1889 PH 2023-10-28 0144 GM2T   59   14 EW5A   59   16 1
QSO:  1889 PH 2023-10-28 0144 GM2T   59   14 IR4X   59   15 1
QSO:  1889 PH 2023-10-28 0144 GM2T   59   14 9A3B   59   15 1
QSO:  1889 PH 2023-10-28 0145 GM2T   59   14 IR6T   59   15 1
QSO:  7133 PH 2023-10-28 0145 GM2T   59   14 LZ2AO  59   20 0
QSO:  1889 PH 2023-10-28 0145 GM2T   59   14 CR3DX  59   33 1
QSO:  7138 PH 2023-10-28 0145 GM2T   59   14 P33W   59   20 0
QSO:  1889 PH 2023-10-28 0146 GM2T   59   14 G6AD   59   14 1
QSO:  1889 PH 2023-10-28 0146 GM2T   59   14 UZ7M   59   16 1
QSO:  7142 PH 2023-10-28 0146 GM2T   59   14 OM2VL  59   15 0
QSO:  7146 PH 2023-10-28 0147 GM2T   59   14 TM2T   59   14 0
QSO:  1889 PH 2023-10-28 0147 GM2T   59   14 OE2S   59   15 1
QSO:  1889 PH 2023-10-28 0147 GM2T   59   14 OL9R   59   15 1
QSO:  1889 PH 2023-10-28 0147 GM2T   59   14 DF9XV  59   14 1
QSO:  7150 PH 2023-10-28 0148 GM2T   59   14 UW5Y   59   16 0
QSO:  1851 PH 2023-10-28 0149 GM2T   59   14 TF3T   59   40 1
QSO:  7109 PH 2023-10-28 0150 GM2T   59   14 IU5GBQ 59   15 0
QSO:  1880 PH 2023-10-28 0150 GM2T   59   14 DC4A   59   14 1
QSO:  7164 PH 2023-10-28 0150 GM2T   59   14 YP7P   59   20 0
QSO:  7198 PH 2023-10-28 0150 GM2T   59   14 YT0W   59   15 0
QSO:  7119 PH 2023-10-28 0151 GM2T   59   14 EE7K   59   14 0
QSO:  1889 PH 2023-10-28 0152 GM2T   59   14 YL1ZX  59   15 1
QSO:  7195 PH 2023-10-28 0152 GM2T   59   14 II2S   59   15 0
QSO:  7193 PH 2023-10-28 0153 GM2T   59   14 E7DX   59   15 0
