START-OF-LOG: 3.0
CONTEST: CQ-WW-SSB
CALLSIGN: VE3DC
LOCATION: ON
CATEGORY-OPERATOR: MULTI-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: TWO
CATEGORY-STATION: FIXED
CATEGORY-OVERLAY: 
GRID-LOCATOR: 
CLAIMED-SCORE: 68620
NAME: Contest Club Ontario
OPERATORS: VE3BK VE3QU
CLUB: CONTEST CLUB ONTARIO
CREATED-BY: WriteLog V12.75C
SOAPBOX: Had fun working 40m in the wee hours and 15m in
SOAPBOX: the daytime, Bands were good and Scott had fun
SOAPBOX: on 10m. Thanks to all that worked us 73 Rick VE3BK
QSO: 21282 PH 2023-10-29 2254 VE3DC  59    4 PY5FO  59   11 0
QSO: 28504 PH 2023-10-29 2255 VE3DC  59    4 CX5A   59   13 1
QSO: 21292 PH 2023-10-29 2301 VE3DC  59    4 K5GN   59    4 0
QSO: 21271 PH 2023-10-29 2302 VE3DC  59    4 K3EST  59    3 0
QSO: 21267 PH 2023-10-29 2307 VE3DC  59    4 LT1F   59   13 0
QSO: 21310 PH 2023-10-29 2312 VE3DC  59    4 LW1D   59   13 0
QSO: 21354 PH 2023-10-29 2316 VE3DC  59    4 PY2ZR  59   11 0
QSO: 21317 PH 2023-10-29 2318 VE3DC  59    4 OA4DOS 59   10 0
QSO: 21270 PH 2023-10-29 2320 VE3DC  59    4 PY2QT  59   11 0
QSO: 21371 PH 2023-10-29 2323 VE3DC  59    4 PJ4G   59    9 0
QSO: 28619 PH 2023-10-29 2324 VE3DC  59    4 CE6CGX 59   12 1
QSO: 21320 PH 2023-10-29 2325 VE3DC  59    4 LW1F   59   13 0
QSO: 28000 PH 2023-10-29 2328 VE3DC  59    4 VE6UM  59   04 1
QSO: 21448 PH 2023-10-29 2329 VE3DC  59    4 PW2L   59   11 0
