START-OF-LOG: 3.0
CALLSIGN: GI4SJQ
CONTEST: CQ-WW-SSB
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 107163
NAME: George Frazer
LOCATION: DX
OPERATORS: GI4SJQ
CLUB: None
CERTIFICATE: YES
CREATED-BY: N1MM Logger+ 1.0.5966.0
SOAPBOX: Band conditions! 10m opened.  15m & 20m very poor.
QSO: 14280 PH 2016-10-30 1133 GI4SJQ        59  14     W1NA          59  05
QSO: 14152 PH 2016-10-30 1135 GI4SJQ        59  14     KC1XX         59  05
QSO: 14158 PH 2016-10-30 1137 GI4SJQ        59  14     WE3C          59  05
QSO: 14286 PH 2016-10-30 1138 GI4SJQ        59  14     K1VR          59  05
QSO: 14285 PH 2016-10-30 1233 GI4SJQ        59  14     K4AB          59  04
QSO: 14157 PH 2016-10-30 1234 GI4SJQ        59  14     K2AX          59  05
QSO: 14189 PH 2016-10-30 1236 GI4SJQ        59  14     NA2U          59  05
QSO: 14319 PH 2016-10-30 1237 GI4SJQ        59  14     K2LE          59  05
QSO: 14165 PH 2016-10-30 1238 GI4SJQ        59  14     W3LPL         59  05
QSO: 14189 PH 2016-10-30 1240 GI4SJQ        59  14     K3CCR         59  05
QSO: 14199 PH 2016-10-30 1241 GI4SJQ        59  14     KD2RD         59  05
QSO: 14336 PH 2016-10-30 1250 GI4SJQ        59  14     N1DD          59  05
QSO: 14324 PH 2016-10-30 1251 GI4SJQ        59  14     IO2X          59  15
QSO: 14311 PH 2016-10-30 1257 GI4SJQ        59  14     Z36N          59  15
QSO: 21362 PH 2016-10-30 1428 GI4SJQ        59  14     CR6T          59  14
QSO: 21350 PH 2016-10-30 1429 GI4SJQ        59  14     CT1FHL        59  14
QSO: 28505 PH 2016-10-30 1432 GI4SJQ        59  14     ZV5O          59  11
QSO: 28410 PH 2016-10-30 1433 GI4SJQ        59  14     PY2YU         59  11
QSO: 14147 PH 2016-10-30 1713 GI4SJQ        59  14     VO1BQ         59  05
QSO: 14163 PH 2016-10-30 1717 GI4SJQ        59  14     K3ZU          59  05
QSO: 14173 PH 2016-10-30 1718 GI4SJQ        59  14     HB9EYP        59  14
QSO: 14179 PH 2016-10-30 1719 GI4SJQ        59  14     AA1K          59  05
QSO: 14191 PH 2016-10-30 1720 GI4SJQ        59  14     W3LL          59  05
QSO: 14192 PH 2016-10-30 1723 GI4SJQ        59  14     HK1T          59  09
QSO: 14258 PH 2016-10-30 1726 GI4SJQ        59  14     HG5A          59  15
QSO: 14257 PH 2016-10-30 1727 GI4SJQ        59  14     VE9ML         59  05
QSO: 14265 PH 2016-10-30 1728 GI4SJQ        59  14     HA3OU         59  15
QSO: 14340 PH 2016-10-30 1731 GI4SJQ        59  14     S52OT         59  15
QSO: 14342 PH 2016-10-30 1731 GI4SJQ        59  14     DL4YAO        59  14
QSO: 14345 PH 2016-10-30 1732 GI4SJQ        59  14     N2MM          59  05
QSO: 14337 PH 2016-10-30 1733 GI4SJQ        59  14     DR5N          59  14
QSO: 14320 PH 2016-10-30 1735 GI4SJQ        59  14     IN3ZNR        59  15
QSO: 14318 PH 2016-10-30 1737 GI4SJQ        59  14     DL6RAI        59  14
QSO: 14318 PH 2016-10-30 1738 GI4SJQ        59  14     DJ50MUC       59  14
QSO: 14318 PH 2016-10-30 1740 GI4SJQ        59  14     IQ4BQ         59  15
QSO: 14227 PH 2016-10-30 1742 GI4SJQ        59  14     DF0WRTC       59  14
QSO: 14236 PH 2016-10-30 1745 GI4SJQ        59  14     OK1NP         59  15
QSO: 14185 PH 2016-10-30 1745 GI4SJQ        59  14     DK8ZZ         59  14
QSO: 14181 PH 2016-10-30 1746 GI4SJQ        59  14     K1KI          59  05
QSO: 14305 PH 2016-10-30 1747 GI4SJQ        59  14     EI0R          59  14
QSO: 14348 PH 2016-10-30 1748 GI4SJQ        59  14     CT3HF         59  33
QSO: 14114 PH 2016-10-30 1819 GI4SJQ        59  14     S50SL         59  15
QSO:  7198 PH 2016-10-30 1820 GI4SJQ        59  14     ED8X          59  33
QSO:  7182 PH 2016-10-30 1825 GI4SJQ        59  14     SN7D          59  15
QSO:  7180 PH 2016-10-30 1826 GI4SJQ        59  14     EW6W          59  16
QSO:  7169 PH 2016-10-30 1829 GI4SJQ        59  14     LY4A          59  15
QSO:  7166 PH 2016-10-30 1830 GI4SJQ        59  14     LZ9W          59  20
END-OF-LOG:
