START-OF-LOG: 3.0
CONTEST: IARU-HF
LOCATION: DX
CALLSIGN: UP2L
CATEGORY-OPERATOR: MULTI-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-POWER: HIGH
CREATED-BY: DXLOG.NET V2.4.4
CATEGORY-TRANSMITTER: ONE
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-STATION: FIXED
OPERATORS: UNOLM UN2G UN4L UN5GV UN6LN UN7GOD UN7LZ UN7ZAF UN9GD UN9L UN9LG
HQ-CATEGORY: Multioperator, Single Transmitter, High Power
HQ-GRID-LOCATOR: MO13sc
QSO: 14246 PH 2019-07-13 1311 UP2L 59 30 TM0HQ 59 REF 1
QSO: 14290 PH 2019-07-13 1312 UP2L 59 30 I0/PB0SJX 59 28 1
QSO: 14290 PH 2019-07-13 1313 UP2L 59 30 I3ZSX 59 28 1
QSO: 14230 PH 2019-07-13 1313 UP2L 59 30 IU3GNB 59 28 1
QSO: 14290 PH 2019-07-13 1314 UP2L 59 30 JM8NQI 59 45 1
QSO: 14290 PH 2019-07-13 1314 UP2L 59 30 SD4C 59 18 1
QSO: 14185 PH 2019-07-13 1314 UP2L 59 30 YT5A 59 28 1
QSO: 14290 PH 2019-07-13 1315 UP2L 59 30 PT5J 59 15 1
QSO: 21003 CW 2019-07-13 1315 UP2L 599 30 RV9UP 599 31 1
QSO: 21003 CW 2019-07-13 1316 UP2L 599 30 E2HQ 599 RAST 1
QSO: 21003 CW 2019-07-13 1316 UP2L 599 30 RO2E 599 29 1
QSO: 21016 CW 2019-07-13 1317 UP2L 599 30 RC6U 599 29 1
QSO: 21003 CW 2019-07-13 1317 UP2L 599 30 RL5A 599 29 1
QSO: 21003 CW 2019-07-13 1317 UP2L 599 30 RK2M 599 29 1
QSO: 21003 CW 2019-07-13 1318 UP2L 599 30 RK3P 599 29 1
QSO: 21003 CW 2019-07-13 1319 UP2L 599 30 RM2U 599 29 1
QSO: 21036 CW 2019-07-13 1321 UP2L 599 30 UC0A 599 32 1
QSO: 21003 CW 2019-07-13 1322 UP2L 599 30 8N6HQ 599 JARL 1
QSO: 21021 CW 2019-07-13 1323 UP2L 599 30 R9HQ 599 SRR 1
QSO: 21003 CW 2019-07-13 1324 UP2L 599 30 RM6Y 599 29 1
QSO: 21003 CW 2019-07-13 1325 UP2L 599 30 RG4A 599 29 1
QSO: 21003 CW 2019-07-13 1326 UP2L 599 30 R4ACY 599 29 1
QSO: 21003 CW 2019-07-13 1326 UP2L 599 30 UA4LL 599 29 1
QSO: 21018 CW 2019-07-13 1328 UP2L 599 30 UP0L 599 30 1
QSO: 21003 CW 2019-07-13 1328 UP2L 599 30 UT5C 599 29 1
QSO: 14002 CW 2019-07-13 1331 UP2L 599 30 JA1BJI 599 45 1
QSO: 14004 CW 2019-07-13 1332 UP2L 599 30 LY0HQ 599 LRMD 1
QSO: 14002 CW 2019-07-13 1332 UP2L 599 30 UY5TE 599 29 1
QSO: 14002 CW 2019-07-13 1333 UP2L 599 30 JJ1VFE 599 45 1
QSO: 14002 CW 2019-07-13 1333 UP2L 599 30 RL5A 599 29 1
QSO: 14053 CW 2019-07-13 1333 UP2L 599 30 SD6M 599 18 1
QSO: 14002 CW 2019-07-13 1334 UP2L 599 30 UN7FW 599 31 1
QSO: 14002 CW 2019-07-13 1334 UP2L 599 30 DJ0IF 599 28 1
QSO: 14006 CW 2019-07-13 1334 UP2L 599 30 UR7GO 599 29 1
QSO: 14002 CW 2019-07-13 1334 UP2L 599 30 UN7LAN 599 30 1
QSO: 14002 CW 2019-07-13 1334 UP2L 599 30 9A7T 599 28 1
QSO: 14002 CW 2019-07-13 1335 UP2L 599 30 RL3A 599 29 1
QSO: 14002 CW 2019-07-13 1335 UP2L 599 30 RD8D 599 30 1
QSO: 14057 CW 2019-07-13 1335 UP2L 599 30 ES2MC 599 29 1
QSO: 14002 CW 2019-07-13 1335 UP2L 599 30 9M2FUL 599 54 1
QSO: 14002 CW 2019-07-13 1336 UP2L 599 30 R8MB/1 599 20 1
QSO: 14058 CW 2019-07-13 1336 UP2L 599 30 PA4O 599 27 1
QSO: 14002 CW 2019-07-13 1336 UP2L 599 30 R5FI 599 29 1
QSO: 14002 CW 2019-07-13 1336 UP2L 599 30 EU3A 599 29 1
QSO: 14002 CW 2019-07-13 1336 UP2L 599 30 UA1AJ 599 29 1
QSO: 14009 CW 2019-07-13 1337 UP2L 599 30 YL2SM 599 29 1
QSO: 14002 CW 2019-07-13 1337 UP2L 599 30 UT3SO 599 29 1
QSO: 14062 CW 2019-07-13 1337 UP2L 599 30 DJ2QV 599 28 1
QSO: 14010 CW 2019-07-13 1337 UP2L 599 30 RM3M 599 29 1
QSO: 14002 CW 2019-07-13 1337 UP2L 599 30 SP9R 599 28 1
QSO: 14002 CW 2019-07-13 1337 UP2L 599 30 EU1W 599 29 1
QSO: 14064 CW 2019-07-13 1337 UP2L 599 30 RZ1OA 599 19 1
QSO: 14002 CW 2019-07-13 1337 UP2L 599 30 LY1CT 599 29 1
QSO: 14002 CW 2019-07-13 1338 UP2L 599 30 G0ORH 599 27 1
QSO: 14002 CW 2019-07-13 1338 UP2L 599 30 UY5AA 599 29 1
QSO: 14002 CW 2019-07-13 1338 UP2L 599 30 R7MM 599 29 1
QSO: 14065 CW 2019-07-13 1338 UP2L 599 30 JF9JTS 599 45 1
QSO: 14002 CW 2019-07-13 1339 UP2L 599 30 HA6NN 599 28 1
QSO: 14002 CW 2019-07-13 1339 UP2L 599 30 4U73B 599 28 1
QSO: 14030 CW 2019-07-13 1339 UP2L 599 30 RA6CA 599 29 1
QSO: 14002 CW 2019-07-13 1340 UP2L 599 30 JG2RFJ 599 45 1
QSO: 14002 CW 2019-07-13 1340 UP2L 599 30 BD7JNA 599 44 1
QSO: 14030 CW 2019-07-13 1341 UP2L 599 30 UW2M 599 29 1
QSO: 14002 CW 2019-07-13 1341 UP2L 599 30 DJ5I 599 28 1
QSO: 14002 CW 2019-07-13 1341 UP2L 599 30 RU1A 599 29 1
QSO: 14002 CW 2019-07-13 1341 UP2L 599 30 DK9IP 599 28 1
QSO: 14018 CW 2019-07-13 1341 UP2L 599 30 HG4F 599 28 1
QSO: 14002 CW 2019-07-13 1342 UP2L 599 30 EW1TZ 599 29 1
QSO: 14002 CW 2019-07-13 1342 UP2L 599 30 S51R 599 28 1
QSO: 14051 CW 2019-07-13 1343 UP2L 599 30 EF4HQ 599 URE 1
QSO: 14027 CW 2019-07-13 1343 UP2L 599 30 ES5RR 599 29 1
QSO: 14002 CW 2019-07-13 1343 UP2L 599 30 BA8BA 599 43 1
QSO: 14002 CW 2019-07-13 1343 UP2L 599 30 BH4EUJ 599 44 1
QSO: 14002 CW 2019-07-13 1343 UP2L 599 30 OM7LW 599 28 1
QSO: 14002 CW 2019-07-13 1344 UP2L 599 30 BA7QT 599 43 1
QSO: 14002 CW 2019-07-13 1344 UP2L 599 30 JA2HYD 599 45 1
QSO: 14002 CW 2019-07-13 1344 UP2L 599 30 EW8C 599 29 1
QSO: 14002 CW 2019-07-13 1345 UP2L 599 30 HL1/LZ4AX 599 44 1
QSO: 14008 CW 2019-07-13 1345 UP2L 599 30 YT6W 599 28 1
QSO: 14002 CW 2019-07-13 1345 UP2L 599 30 RU5TT 599 29 1
QSO: 14035 CW 2019-07-13 1345 UP2L 599 30 OH2BAH 599 18 1
QSO: 14002 CW 2019-07-13 1345 UP2L 599 30 HG7T 599 28 1
QSO: 14002 CW 2019-07-13 1346 UP2L 599 30 UA0UV 599 33 1
QSO: 14045 CW 2019-07-13 1346 UP2L 599 30 UX2X 599 29 1
QSO: 14002 CW 2019-07-13 1346 UP2L 599 30 RM5F 599 29 1
QSO: 14002 CW 2019-07-13 1346 UP2L 599 30 DL4AC 599 28 1
QSO: 14002 CW 2019-07-13 1347 UP2L 599 30 RU5K 599 29 1
QSO: 14002 CW 2019-07-13 1347 UP2L 599 30 RU5TT 599 29 1
QSO: 14000 CW 2019-07-13 1347 UP2L 599 30 RA5AD 599 29 1
QSO: 14002 CW 2019-07-13 1347 UP2L 599 30 EU1AI 599 29 1
QSO: 14002 CW 2019-07-13 1347 UP2L 599 30 RU5TT 599 29 1
QSO: 14002 CW 2019-07-13 1347 UP2L 599 30 YR0HQ 599 FRR 1
QSO: 14053 CW 2019-07-13 1348 UP2L 599 30 DL0BA 599 28 1
QSO: 14003 CW 2019-07-13 1348 UP2L 599 30 DL0JR 599 28 1
QSO: 14002 CW 2019-07-13 1348 UP2L 599 30 RW1M 599 29 1
QSO: 14002 CW 2019-07-13 1348 UP2L 599 30 SP9PKZ 599 28 1
QSO: 14004 CW 2019-07-13 1348 UP2L 599 30 DJ5MW 599 28 1
QSO: 14002 CW 2019-07-13 1348 UP2L 599 30 RX3N 599 29 1
QSO: 14002 CW 2019-07-13 1349 UP2L 599 30 UT8IO 599 29 1
QSO: 14002 CW 2019-07-13 1349 UP2L 599 30 JA6ELV 599 45 1
QSO: 14002 CW 2019-07-13 1349 UP2L 599 30 RA3Y 599 29 1
QSO: 14006 CW 2019-07-13 1349 UP2L 599 30 UA5F 599 29 1
QSO: 14002 CW 2019-07-13 1349 UP2L 599 30 UZ1U 599 29 1
QSO: 14002 CW 2019-07-13 1350 UP2L 599 30 UW7LL 599 29 1
QSO: 14002 CW 2019-07-13 1350 UP2L 599 30 DM2TO 599 28 1
QSO: 14002 CW 2019-07-13 1350 UP2L 599 30 LU5FF 599 14 1
QSO: 14056 CW 2019-07-13 1350 UP2L 599 30 RC9J 599 21 1
QSO: 14002 CW 2019-07-13 1351 UP2L 599 30 S55M 599 28 1
QSO: 14010 CW 2019-07-13 1351 UP2L 599 30 OZ1HQ 599 EDR 1
QSO: 14002 CW 2019-07-13 1351 UP2L 599 30 JA1AYO 599 45 1
QSO: 14002 CW 2019-07-13 1351 UP2L 599 30 BH8ASZ 599 43 1
QSO: 14059 CW 2019-07-13 1352 UP2L 599 30 LY7Z 599 29 1
QSO: 14002 CW 2019-07-13 1352 UP2L 599 30 JE1RRK 599 45 1
QSO: 14010 CW 2019-07-13 1352 UP2L 599 30 OT4A 599 27 1
QSO: 14002 CW 2019-07-13 1352 UP2L 599 30 JA6FFK 599 45 1
QSO: 14062 CW 2019-07-13 1353 UP2L 599 30 ES9A 599 ERAU 1
QSO: 14002 CW 2019-07-13 1353 UP2L 599 30 UZ1WW 599 29 1
QSO: 14011 CW 2019-07-13 1353 UP2L 599 30 R1DX 599 29 1
QSO: 14002 CW 2019-07-13 1353 UP2L 599 30 UA0SE 599 32 1
QSO: 14002 CW 2019-07-13 1354 UP2L 599 30 JM1MTE 599 45 1
QSO: 14002 CW 2019-07-13 1354 UP2L 599 30 SE9HQ 599 SSA 1
QSO: 14064 CW 2019-07-13 1354 UP2L 599 30 R4GM 599 29 1
QSO: 14012 CW 2019-07-13 1354 UP2L 599 30 UB3A 599 29 1
QSO: 14002 CW 2019-07-13 1354 UP2L 599 30 SP3VT 599 28 1
QSO: 14002 CW 2019-07-13 1355 UP2L 599 30 UR7QM 599 29 1
