START-OF-LOG: 3.0
CONTEST: CQ-WPX-SSB
CALLSIGN: OR5T
LOCATION: DX
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
GRID-LOCATOR:
CLAIMED-SCORE: 603351
NAME: Xavier GODDAER
OPERATORS: OR5T
CLUB: THRACIAN ROSE CLUB
CREATED-BY: N1MM Logger+ 1.0.8269.0
SOAPBOX: I had a lot of fun... good runs on 80m
QSO:  7154 PH 2020-03-29 1447 OR5T          59  0278   S57AJ         59  0047
QSO:  7154 PH 2020-03-29 1448 OR5T          59  0279   HB9AWS        59  0441
QSO:  7154 PH 2020-03-29 1448 OR5T          59  0280   OK2BJK        59  0086
QSO:  7154 PH 2020-03-29 1449 OR5T          59  0281   OH6ECM        59  0295
QSO:  7154 PH 2020-03-29 1450 OR5T          59  0282   DL7ON         59  0472
QSO:  7154 PH 2020-03-29 1450 OR5T          59  0283   DL1GWS        59  0688
QSO:  7154 PH 2020-03-29 1450 OR5T          59  0284   IK2GWT        59  0052
QSO:  7154 PH 2020-03-29 1451 OR5T          59  0285   UA1D          59  0240
QSO:  7154 PH 2020-03-29 1451 OR5T          59  0286   OZ1KVM        59  0520
QSO:  7154 PH 2020-03-29 1453 OR5T          59  0287   EA2RKO        59  0022
QSO:  7154 PH 2020-03-29 1453 OR5T          59  0288   RM2U          59  1670
QSO:  7154 PH 2020-03-29 1453 OR5T          59  0289   MU2K          59  0280
QSO:  7154 PH 2020-03-29 1454 OR5T          59  0290   MU2K          59  1041
QSO:  7154 PH 2020-03-29 1454 OR5T          59  0291   S55T          59  2489
QSO:  7154 PH 2020-03-29 1455 OR5T          59  0292   SK6QA         59  0132
QSO:  7154 PH 2020-03-29 1455 OR5T          59  0293   IZ5EME        59  0482
QSO:  7154 PH 2020-03-29 1455 OR5T          59  0294   SP8R          59  0324
QSO:  7154 PH 2020-03-29 1456 OR5T          59  0295   F8OOI         59  0038
QSO:  7154 PH 2020-03-29 1457 OR5T          59  0296   OK8GG         59  0139
QSO:  7154 PH 2020-03-29 1457 OR5T          59  0297   DL1BUG        59  0065
QSO:  7154 PH 2020-03-29 1457 OR5T          59  0298   DF6RI         59  0185
QSO:  7154 PH 2020-03-29 1457 OR5T          59  0299   TM8A          59  1954
QSO:  7154 PH 2020-03-29 1458 OR5T          59  0300   G3TXF         59  0665
QSO:  7154 PH 2020-03-29 1458 OR5T          59  0301   ON5JT         59  0001
QSO:  7154 PH 2020-03-29 1458 OR5T          59  0302   EW6W          59  3216
QSO:  7154 PH 2020-03-29 1459 OR5T          59  0303   G4IIY         59  0484
