START-OF-LOG: 3.0
LOCATION: DX
CALLSIGN: LZ2PS
CLUB:  
CONTEST: REF-CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: 20M
CATEGORY-MODE: CW
CATEGORY-POWER: LOW
CATEGORY-STATION: FIXED
CATEGORY-TRANSMITTER: ONE
CLAIMED-SCORE: 15390
OPERATORS: LZ2PS
NAME: Stefan Getsov
CREATED-BY: N1MM Logger+ 1.0.7268.0
QSO: 14010 CW 2020-01-26 1059 LZ2PS         599 0142   F4GOP         599 61       
QSO: 14010 CW 2020-01-26 1111 LZ2PS         599 0143   F5YG          599 60       
QSO: 14010 CW 2020-01-26 1120 LZ2PS         599 0144   F5VLY         599 47       
QSO: 14010 CW 2020-01-26 1126 LZ2PS         599 0145   TM13M         599 13       
QSO: 14010 CW 2020-01-26 1129 LZ2PS         599 0146   F5IRQ         599 85       
QSO: 14010 CW 2020-01-26 1132 LZ2PS         599 0147   F8EBY         599 54       
QSO: 14010 CW 2020-01-26 1135 LZ2PS         599 0148   F6FPU         599 38       
QSO: 14010 CW 2020-01-26 1141 LZ2PS         599 0149   F6HKS         599 81       
QSO: 14010 CW 2020-01-26 1146 LZ2PS         599 0150   FM5AN         599 FM       
QSO: 14010 CW 2020-01-26 1150 LZ2PS         599 0151   F8BJK/P       599 31       
QSO: 14010 CW 2020-01-26 1231 LZ2PS         599 0152   F6KKH         599 11       
QSO: 14010 CW 2020-01-26 1249 LZ2PS         599 0153   F8FSC         599 39       
QSO: 14010 CW 2020-01-26 1258 LZ2PS         599 0154   F5POJ         599 02       
QSO: 14010 CW 2020-01-26 1302 LZ2PS         599 0155   F5OZC         599 49       
QSO: 14010 CW 2020-01-26 1305 LZ2PS         599 0156   F5IUZ         599 13       
QSO: 14010 CW 2020-01-26 1309 LZ2PS         599 0157   F6KSO         599 49       
QSO: 14010 CW 2020-01-26 1315 LZ2PS         599 0158   F4FRG         599 35       
QSO: 14010 CW 2020-01-26 1320 LZ2PS         599 0159   F5FDC         599 82       
QSO: 14010 CW 2020-01-26 1322 LZ2PS         599 0160   F6HRP         599 22       
QSO: 14010 CW 2020-01-26 1335 LZ2PS         599 0161   F5DE          599 16       
QSO: 14010 CW 2020-01-26 1347 LZ2PS         599 0162   F6DEO         599 95       
QSO: 14010 CW 2020-01-26 1349 LZ2PS         599 0163   TM5NN         599 45       
QSO: 14010 CW 2020-01-26 1353 LZ2PS         599 0164   F5JNE         599 56       
QSO: 14010 CW 2020-01-26 1356 LZ2PS         599 0165   F5OWL         599 83       
QSO: 14010 CW 2020-01-26 1416 LZ2PS         599 0166   F4FCE         599 45       
QSO: 14010 CW 2020-01-26 1421 LZ2PS         599 0167   F5AGB         599 77       
QSO: 14010 CW 2020-01-26 1423 LZ2PS         599 0168   F5MMB         599 40       
QSO: 14010 CW 2020-01-26 1425 LZ2PS         599 0169   F5OIH         599 86       
QSO: 14010 CW 2020-01-26 1426 LZ2PS         599 0170   F6KLN         599 31       
QSO: 14010 CW 2020-01-26 1426 LZ2PS         599 0171   F1GLJ         599 19       
QSO: 14010 CW 2020-01-26 1431 LZ2PS         599 0172   F1POG         599 03       
QSO: 14010 CW 2020-01-26 1432 LZ2PS         599 0173   F5KAY         599 33       
QSO: 14010 CW 2020-01-26 1435 LZ2PS         599 0174   F8NJ          599 10       
QSO: 14010 CW 2020-01-26 1436 LZ2PS         599 0175   F5TMR         599 17       
QSO: 14010 CW 2020-01-26 1440 LZ2PS         599 0176   F9CI          599 22       
QSO: 14010 CW 2020-01-26 1443 LZ2PS         599 0177   F4IMP         599 14       
QSO: 14010 CW 2020-01-26 1444 LZ2PS         599 0178   F6CVK         599 17       
QSO: 14010 CW 2020-01-26 1446 LZ2PS         599 0179   F2NY          599 13       
QSO: 14010 CW 2020-01-26 1448 LZ2PS         599 0180   F5PAL         599 63       
QSO: 14010 CW 2020-01-26 1450 LZ2PS         599 0181   F6FET         599 53       
QSO: 14010 CW 2020-01-26 1500 LZ2PS         599 0182   F6GGA         599 90       
QSO: 14010 CW 2020-01-26 1513 LZ2PS         599 0183   F2GL          599 89       
QSO: 14010 CW 2020-01-26 1520 LZ2PS         599 0184   F6ALQ         599 02       
QSO: 14010 CW 2020-01-26 1532 LZ2PS         599 0185   F4GGQ         599 29       
QSO: 14010 CW 2020-01-26 1553 LZ2PS         599 0186   F6FUD/P       599 32       
END-OF-LOG:
