START-OF-LOG: 3.0
CREATED-BY: Win-Test 4.9.1
CONTEST: CQ-WW-SSB
LOCATION: DX
CALLSIGN: LY7A
CATEGORY-OPERATOR: MULTI-OP
CATEGORY-TRANSMITTER: UNLIMITED
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: SSB
CATEGORY-STATION: FIXED
CLAIMED-SCORE: 12113640
OPERATORS: LYR346 LY1DI LY1FK LY1FU LY1SR LY2DX LY2J LY2K LY2KJ LY2LL LY3BB
OPERATORS: LY3DA LY3HD LY3RQ LY3UT LY4G LY4Z LY9A
CLUB: Kaunas University of Technology Radio Club
NAME: KTU RC HQ
SOAPBOX:
QSO:  7000 PH 2014-10-25 0016 LY7A          59  15     DP6T          59  14     1
QSO:  1800 PH 2014-10-25 0017 LY7A          59  15     EU2EU         59  16     1
QSO:  3500 PH 2014-10-25 0017 LY7A          59  15     RW0A          59  18     1
QSO:  7000 PH 2014-10-25 0017 LY7A          59  15     M2W           59  14     1
QSO:  3500 PH 2014-10-25 0017 LY7A          59  15     DJ5AN         59  14     1
QSO:  7000 PH 2014-10-25 0017 LY7A          59  15     EI1Y          59  14     1
QSO:  3500 PH 2014-10-25 0017 LY7A          59  15     SO9T          59  15     1
QSO:  1800 PH 2014-10-25 0017 LY7A          59  15     SQ9IAU        59  15     1
QSO: 14174 PH 2014-10-25 0017 LY7A          59  15     W4RM          59  5      1
QSO:  3500 PH 2014-10-25 0017 LY7A          59  15     OM3RWB        59  15     1
QSO:  3500 PH 2014-10-25 0018 LY7A          59  15     OR5T          59  14     1
QSO: 14174 PH 2014-10-25 0018 LY7A          59  15     K3LR          59  5      1
QSO:  3500 PH 2014-10-25 0018 LY7A          59  15     LZ2DF         59  20     1
QSO:  7000 PH 2014-10-25 0018 LY7A          59  15     CN3A          59  33     1
QSO:  3500 PH 2014-10-25 0018 LY7A          59  15     UR5E          59  16     1
QSO:  7000 PH 2014-10-25 0018 LY7A          59  15     UW5Y          59  16     1
QSO:  3500 PH 2014-10-25 0018 LY7A          59  15     IR8C          59  15     1
QSO:  3500 PH 2014-10-25 0018 LY7A          59  15     9A2GA         59  15     1
QSO:  7000 PH 2014-10-25 0019 LY7A          59  15     TC3W          59  20     1
QSO:  3500 PH 2014-10-25 0019 LY7A          59  15     DJ6QT         59  14     1
QSO:  7000 PH 2014-10-25 0019 LY7A          59  15     ED4AA         59  14     1
QSO:  3500 PH 2014-10-25 0019 LY7A          59  15     RV3ZQ         59  16     1
QSO:  3500 PH 2014-10-25 0019 LY7A          59  15     ES2BH         59  15     1
QSO: 14174 PH 2014-10-25 0019 LY7A          59  15     VE3AD         59  4      1
QSO:  3500 PH 2014-10-25 0019 LY7A          59  15     OH5Z          59  15     1
QSO:  3500 PH 2014-10-25 0019 LY7A          59  15     I4XNN         59  15     1
QSO:  3500 PH 2014-10-25 0020 LY7A          59  15     SM4EMO        59  14     1
QSO: 14174 PH 2014-10-25 0020 LY7A          59  15     DP7D          59  14     1
QSO:  7000 PH 2014-10-25 0020 LY7A          59  15     IR4M          59  15     1
QSO: 14174 PH 2014-10-25 0020 LY7A          59  15     WX3B          59  5      1
QSO:  3500 PH 2014-10-25 0020 LY7A          59  15     OK1WCF        59  15     1
QSO:  7000 PH 2014-10-25 0020 LY7A          59  15     P3F           59  20     1
QSO:  3500 PH 2014-10-25 0020 LY7A          59  15     RY6Y          59  16     1
QSO:  3500 PH 2014-10-25 0020 LY7A          59  15     YT2AAA        59  15     1
QSO:  3500 PH 2014-10-25 0020 LY7A          59  15     YL1ZX         59  15     1
QSO:  3500 PH 2014-10-25 0021 LY7A          59  15     OG4MCF        59  15     1
QSO:  7000 PH 2014-10-25 0021 LY7A          59  15     IZ1GAR        59  15     1
QSO:  3500 PH 2014-10-25 0021 LY7A          59  15     RT6A          59  16     1
QSO:  3500 PH 2014-10-25 0021 LY7A          59  15     UA9JDP        59  17     1
QSO:  1800 PH 2014-10-25 0021 LY7A          59  15     YL2CI         59  15     1
QSO:  3500 PH 2014-10-25 0022 LY7A          59  15     E77E          59  15     1
QSO:  3500 PH 2014-10-25 0022 LY7A          59  15     EI7M          59  14     1
QSO: 14174 PH 2014-10-25 0022 LY7A          59  15     AA1K          59  5      1
QSO:  7000 PH 2014-10-25 0022 LY7A          59  15     DL5ZBA        59  14     1
QSO:  3500 PH 2014-10-25 0022 LY7A          59  15     DF9XV         59  14     1
QSO:  3500 PH 2014-10-25 0022 LY7A          59  15     SP6YAQ        59  15     1
QSO:  3500 PH 2014-10-25 0022 LY7A          59  15     UT7UU         59  16     1
QSO:  3500 PH 2014-10-25 0022 LY7A          59  15     9A5AFC        59  15     1
QSO:  7000 PH 2014-10-25 0023 LY7A          59  15     EI9E          59  14     1
QSO:  3500 PH 2014-10-25 0023 LY7A          59  15     SO5MAX        59  15     1
QSO:  3500 PH 2014-10-25 0023 LY7A          59  15     CN2AA         59  33     1
QSO:  3500 PH 2014-10-25 0023 LY7A          59  15     R4WDX         59  16     1
QSO:  7000 PH 2014-10-25 0023 LY7A          59  15     II9P          59  15     1
QSO:  7000 PH 2014-10-25 0023 LY7A          59  15     LY7Z          59  15     1
QSO:  3500 PH 2014-10-25 0023 LY7A          59  15     DO6NI         59  14     1
QSO:  3500 PH 2014-10-25 0024 LY7A          59  15     UX0RR         59  16     1
QSO:  1800 PH 2014-10-25 0024 LY7A          59  15     UT2UU         59  16     1
QSO:  7000 PH 2014-10-25 0024 LY7A          59  15     EA3VN         59  14     1
QSO:  3500 PH 2014-10-25 0024 LY7A          59  15     YU1EL         59  15     1
QSO: 14174 PH 2014-10-25 0024 LY7A          59  15     W4WWQ         59  5      1
QSO:  3500 PH 2014-10-25 0024 LY7A          59  15     OL1M          59  15     1
QSO: 14174 PH 2014-10-25 0024 LY7A          59  15     SM3C          59  14     1
QSO:  3500 PH 2014-10-25 0024 LY7A          59  15     TM2G          59  14     1
QSO: 14174 PH 2014-10-25 0025 LY7A          59  15     OH10A         59  15     1
QSO:  3500 PH 2014-10-25 0025 LY7A          59  15     DJ7WW         59  14     1
QSO:  7000 PH 2014-10-25 0025 LY7A          59  15     DF0HQ         59  14     1
QSO:  7000 PH 2014-10-25 0025 LY7A          59  15     P39P          59  20     1
QSO:  3500 PH 2014-10-25 0025 LY7A          59  15     ES5MG         59  15     1
QSO: 14174 PH 2014-10-25 0025 LY7A          59  15     N9CHN         59  4      1
QSO:  3500 PH 2014-10-25 0026 LY7A          59  15     SQ2WHH        59  15     1
QSO:  7000 PH 2014-10-25 0026 LY7A          59  15     9K2HN         59  21     1
QSO:  3500 PH 2014-10-25 0026 LY7A          59  15     R3AP          59  16     1
QSO:  3500 PH 2014-10-25 0026 LY7A          59  15     UD4F          59  16     1
QSO: 14174 PH 2014-10-25 0026 LY7A          59  15     K1BX          59  5      1
QSO: 14174 PH 2014-10-25 0026 LY7A          59  15     UA4M          59  16     1
QSO:  3500 PH 2014-10-25 0026 LY7A          59  15     UA3OQ         59  16     1
QSO:  3500 PH 2014-10-25 0027 LY7A          59  15     RA4AAT        59  16     1
QSO:  3500 PH 2014-10-25 0027 LY7A          59  15     OK2KOJ        59  15     1
QSO:  3500 PH 2014-10-25 0027 LY7A          59  15     SN2B          59  15     1
QSO:  1800 PH 2014-10-25 0027 LY7A          59  15     OH6LEZ        59  15     1
QSO:  7000 PH 2014-10-25 0027 LY7A          59  15     TA1CM         59  20     1
QSO:  3500 PH 2014-10-25 0027 LY7A          59  15     OM4ASI        59  15     1
QSO:  3500 PH 2014-10-25 0027 LY7A          59  15     DO1GAR        59  14     1
