START-OF-LOG: 3.0
CONTEST: CQ-WPX-CW
CALLSIGN: HB9CAT
LOCATION: DX
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY: TB-WIRES
GRID-LOCATOR: JN46PN
CLAIMED-SCORE: 1075052
NAME: Marco Zollinger
OPERATORS: HB9CAT
CLUB: ITALIAN CONTEST CLUB
CREATED-BY: DXLog.net v2.4.23
SOAPBOX: mostly S&P, multi-band vertical in the middle of the alps
QSO:  7007 CW 2020-05-30 0757 HB9CAT        599 0294   EA3X          599 0181   0
QSO:  7020 CW 2020-05-30 0758 HB9CAT        599 0295   DQ0Z          599 0630   0
QSO:  7022 CW 2020-05-30 0758 HB9CAT        599 0296   IR2Q          599 1110   0
QSO:  7026 CW 2020-05-30 0759 HB9CAT        599 0297   OL902AC       599 0481   0
QSO:  7029 CW 2020-05-30 0800 HB9CAT        599 0298   OK5OK         599 0382   0
QSO:  7029 CW 2020-05-30 0800 HB9CAT        599 0299   UR5WCQ        599 0263   0
QSO:  7029 CW 2020-05-30 0801 HB9CAT        599 0300   PG5V          599 0099   0
QSO:  7030 CW 2020-05-30 0801 HB9CAT        599 0301   HA5UX         599 0268   0
QSO:  7035 CW 2020-05-30 0802 HB9CAT        599 0302   IK2WAD        599 0331   0
QSO:  7036 CW 2020-05-30 0803 HB9CAT        599 0303   LA2AB         599 0370   0
QSO:  7031 CW 2020-05-30 0805 HB9CAT        599 0304   DL0WW         599 0165   0
QSO:  7031 CW 2020-05-30 0805 HB9CAT        599 0305   HB9AFZ        599 0055   0
QSO:  7031 CW 2020-05-30 0806 HB9CAT        599 0306   HB9CSA        599 0015   0
QSO:  7031 CW 2020-05-30 0807 HB9CAT        599 0307   DL6JZ         599 0097   0
QSO:  7031 CW 2020-05-30 0807 HB9CAT        599 0308   EA1WH         599 0039   0
QSO:  7031 CW 2020-05-30 0807 HB9CAT        599 0309   DL4FN         599 0378   0
QSO:  7031 CW 2020-05-30 0808 HB9CAT        599 0310   LY6A          599 0579   0
QSO:  7031 CW 2020-05-30 0808 HB9CAT        599 0311   DL2FQ         599 0218   0
QSO:  7031 CW 2020-05-30 0809 HB9CAT        599 0312   F5PRH         599 0356   0
QSO: 28011 CW 2020-05-30 0812 HB9CAT        599 0313   MX7DX         599 0899   0
QSO: 28014 CW 2020-05-30 0813 HB9CAT        599 0314   SP1NY         599 0364   0
QSO: 28019 CW 2020-05-30 0814 HB9CAT        599 0315   OR3A          599 0173   0
QSO: 28034 CW 2020-05-30 0815 HB9CAT        599 0316   LY5E          599 0749   0
QSO: 28037 CW 2020-05-30 0815 HB9CAT        599 0317   EA4TX         599 0019   0
QSO: 28040 CW 2020-05-30 0816 HB9CAT        599 0318   HA6P          599 0012   0
QSO: 21055 CW 2020-05-30 0817 HB9CAT        599 0319   UY7C          599 0506   0
QSO: 21046 CW 2020-05-30 0817 HB9CAT        599 0320   SM6NT         599 0066   0
QSO: 21024 CW 2020-05-30 0819 HB9CAT        599 0321   EI5KF         599 0449   0
QSO: 28013 CW 2020-05-30 0930 HB9CAT        599 0322   SC7DX         599 0462   0
QSO: 28018 CW 2020-05-30 0931 HB9CAT        599 0323   OM4Q          599 0848   0
QSO: 28019 CW 2020-05-30 0931 HB9CAT        599 0324   SD1A          599 0084   0
QSO: 28020 CW 2020-05-30 0935 HB9CAT        599 0325   EF1C          599 0072   0
QSO: 28023 CW 2020-05-30 0936 HB9CAT        599 0326   RK3ER         599 0311   0
QSO: 28042 CW 2020-05-30 0937 HB9CAT        599 0327   PA2A          599 0085   0
QSO: 28054 CW 2020-05-30 0938 HB9CAT        599 0328   PI4COM        599 0230   0
QSO: 21008 CW 2020-05-30 0940 HB9CAT        599 0329   ED7O          599 0214   0
QSO: 21012 CW 2020-05-30 0941 HB9CAT        599 0330   EW3W          599 0040   0
QSO: 21014 CW 2020-05-30 0942 HB9CAT        599 0331   PB8DX         599 0284   0
QSO: 21016 CW 2020-05-30 0942 HB9CAT        599 0332   EA4OR         599 0204   0
QSO: 21021 CW 2020-05-30 0943 HB9CAT        599 0333   UW4E          599 0406   0
QSO: 21035 CW 2020-05-30 0944 HB9CAT        599 0334   OL0W          599 0785   0
QSO: 21048 CW 2020-05-30 0946 HB9CAT        599 0335   R1DX          599 0328   0
QSO: 21049 CW 2020-05-30 0947 HB9CAT        599 0336   PA7RA         599 0078   0
QSO: 21051 CW 2020-05-30 0947 HB9CAT        599 0337   RU4SO         599 0125   0
QSO: 21065 CW 2020-05-30 0948 HB9CAT        599 0338   ED4T          599 0237   0
QSO: 21070 CW 2020-05-30 0949 HB9CAT        599 0339   UT7NI         599 0310   0
QSO: 14008 CW 2020-05-30 0950 HB9CAT        599 0340   YP0HQ         599 0286   0
QSO: 14011 CW 2020-05-30 0953 HB9CAT        599 0341   DA2C          599 1200   0
QSO: 14013 CW 2020-05-30 0954 HB9CAT        599 0342   OL1941FP      599 0089   0
QSO: 14014 CW 2020-05-30 0954 HB9CAT        599 0343   YQ6A          599 0802   0
QSO: 14015 CW 2020-05-30 0955 HB9CAT        599 0344   YL3FT         599 0829   0
QSO: 14016 CW 2020-05-30 0956 HB9CAT        599 0345   RX6CB         599 0354   0
QSO: 14023 CW 2020-05-30 0957 HB9CAT        599 0346   RM3Z          599 0036   0
QSO: 14024 CW 2020-05-30 0958 HB9CAT        599 0347   M2G           599 0521   0
QSO: 14034 CW 2020-05-30 0959 HB9CAT        599 0348   RK7A          599 0962   0
QSO: 14035 CW 2020-05-30 1000 HB9CAT        599 0349   G3SHF         599 0068   0
QSO: 14040 CW 2020-05-30 1000 HB9CAT        599 0350   RW1A          599 0447   0
QSO: 14043 CW 2020-05-30 1001 HB9CAT        599 0351   UB6B          599 0817   0
QSO: 14044 CW 2020-05-30 1002 HB9CAT        599 0352   ES3V          599 0127   0
QSO: 14054 CW 2020-05-30 1003 HB9CAT        599 0353   SN1F          599 0409   0
QSO: 14063 CW 2020-05-30 1004 HB9CAT        599 0354   RL9Y          599 1029   0
QSO: 14065 CW 2020-05-30 1005 HB9CAT        599 0355   SN95IARU      599 0507   0
QSO: 21024 CW 2020-05-30 1303 HB9CAT        599 0356   YT9X          599 0437   0
QSO: 14060 CW 2020-05-30 1305 HB9CAT        599 0357   9A3JB         599 0607   0
QSO: 14058 CW 2020-05-30 1306 HB9CAT        599 0358   ON4CT         599 0272   0
QSO: 14042 CW 2020-05-30 1307 HB9CAT        599 0359   R6AF          599 0434   0
QSO: 14031 CW 2020-05-30 1309 HB9CAT        599 0360   RO7C          599 0471   0
QSO: 14025 CW 2020-05-30 1310 HB9CAT        599 0361   SN5N          599 0294   0
QSO: 14012 CW 2020-05-30 1312 HB9CAT        599 0362   OP4K          599 0559   0
QSO: 14002 CW 2020-05-30 1313 HB9CAT        599 0363   OG2P          599 0548   0
QSO:  7001 CW 2020-05-30 2040 HB9CAT        599 0364   JH4UYB        599 1192   0
QSO:  7002 CW 2020-05-30 2041 HB9CAT        599 0365   P3AA          599 1278   0
QSO:  7005 CW 2020-05-30 2041 HB9CAT        599 0366   RX9AF         599 0434   0
QSO: 21002 CW 2020-05-30 2045 HB9CAT        599 0367   FY5FY         599 0728   0
QSO: 21021 CW 2020-05-30 2046 HB9CAT        599 0368   RC3W          599 0761   0
QSO: 14008 CW 2020-05-30 2048 HB9CAT        599 0369   ZM1A          599 1399   0
QSO: 14014 CW 2020-05-30 2050 HB9CAT        599 0370   LW5HR         599 0467   0
QSO: 14022 CW 2020-05-30 2051 HB9CAT        599 0371   IK5VLL        599 0314   0
QSO:  3540 CW 2020-05-30 2052 HB9CAT        599 0372   IZ5DIY        599 0106   0
QSO:  3541 CW 2020-05-30 2053 HB9CAT        599 0373   PA4O          599 1414   0
QSO:  3548 CW 2020-05-30 2054 HB9CAT        599 0374   SP9BNM        599 0070   0
QSO:  3548 CW 2020-05-30 2056 HB9CAT        599 0375   4L2M          599 0364   0
QSO:  3550 CW 2020-05-30 2057 HB9CAT        599 0376   PC1PM         599 0463   0
QSO:  3557 CW 2020-05-30 2100 HB9CAT        599 0377   MW2I          599 0197   0
QSO:  3558 CW 2020-05-30 2100 HB9CAT        599 0378   PC3T          599 0835   0
QSO:  3564 CW 2020-05-30 2101 HB9CAT        599 0379   EU1DX         599 0481   0
QSO:  3555 CW 2020-05-30 2102 HB9CAT        599 0380   Z33F          599 0432   0
QSO:  3554 CW 2020-05-30 2103 HB9CAT        599 0381   DJ1YFK        599 0440   0
QSO:  7003 CW 2020-05-30 2104 HB9CAT        599 0382   P33W          599 2434   0
QSO:  7002 CW 2020-05-30 2104 HB9CAT        599 0383   RL4F          599 1108   0
QSO:  7006 CW 2020-05-30 2105 HB9CAT        599 0384   UT4U          599 1084   0
QSO:  7007 CW 2020-05-30 2105 HB9CAT        599 0385   E77EA         599 0568   0
QSO:  7012 CW 2020-05-30 2107 HB9CAT        599 0386   SQ7OXU        599 0298   0
QSO:  7014 CW 2020-05-30 2107 HB9CAT        599 0387   R8CT          599 1157   0
QSO:  7014 CW 2020-05-30 2108 HB9CAT        599 0388   BY6LY         599 0847   0
QSO:  7015 CW 2020-05-30 2108 HB9CAT        599 0389   UF5D          599 1829   0
QSO:  7018 CW 2020-05-30 2110 HB9CAT        599 0390   SP50ENV       599 0344   0
QSO:  7020 CW 2020-05-30 2112 HB9CAT        599 0391   BY1CY         599 0254   0
QSO:  7022 CW 2020-05-30 2113 HB9CAT        599 0392   IZ2DII        599 0196   0
QSO:  7023 CW 2020-05-30 2113 HB9CAT        599 0393   OL700CO       599 0075   0
QSO:  7026 CW 2020-05-30 2114 HB9CAT        599 0394   LZ7A          599 1044   0
QSO:  7028 CW 2020-05-30 2115 HB9CAT        599 0395   DL3DTH        599 0084   0
QSO:  7032 CW 2020-05-30 2116 HB9CAT        599 0396   YP6C          599 0576   0
QSO:  7032 CW 2020-05-30 2117 HB9CAT        599 0397   KO8SCA        599 1119   0
QSO:  7034 CW 2020-05-30 2118 HB9CAT        599 0398   PA9M          599 0202   0
QSO:  7038 CW 2020-05-30 2119 HB9CAT        599 0399   UA9MA         599 1612   0
QSO:  7039 CW 2020-05-30 2119 HB9CAT        599 0400   EW/R3XA       599 0464   0
QSO:  7044 CW 2020-05-30 2120 HB9CAT        599 0401   BY8AC         599 0997   0
QSO:  7054 CW 2020-05-30 2121 HB9CAT        599 0402   SI9AM         599 0809   0
QSO:  7055 CW 2020-05-30 2122 HB9CAT        599 0403   IK1JJM        599 0451   0
QSO:  7059 CW 2020-05-30 2123 HB9CAT        599 0404   2E0CVN        599 0537   0
QSO:  7062 CW 2020-05-30 2124 HB9CAT        599 0405   ZR2A/4        599 0720   0
QSO:  7063 CW 2020-05-30 2124 HB9CAT        599 0406   UN7LAN        599 0342   0
QSO:  7066 CW 2020-05-30 2125 HB9CAT        599 0407   EE5X          599 0478   0
QSO:  7067 CW 2020-05-30 2125 HB9CAT        599 0408   DH0GHU        599 0711   0
QSO:  7068 CW 2020-05-30 2126 HB9CAT        599 0409   G0MTN         599 1415   0
QSO: 14027 CW 2020-05-30 2127 HB9CAT        599 0410   LW8DQ         599 0627   0
QSO: 14090 CW 2020-05-30 2128 HB9CAT        599 0411   8P5A          599 1133   0
QSO: 14045 CW 2020-05-30 2130 HB9CAT        599 0412   D4Z           599 1388   0
QSO: 14056 CW 2020-05-30 2136 HB9CAT        599 0413   PJ4/K4BAI     599 1359   0
QSO:  7010 CW 2020-05-31 0257 HB9CAT        599 0414   N6AR          599 1512   0
QSO:  7007 CW 2020-05-31 0322 HB9CAT        599 0415   EV6Z          599 0604   0
QSO:  7002 CW 2020-05-31 0323 HB9CAT        599 0416   CR5O          599 1070   0
QSO:  7034 CW 2020-05-31 0325 HB9CAT        599 0417   HF1J          599 0456   0
QSO:  7035 CW 2020-05-31 0325 HB9CAT        599 0418   SV1JG         599 0551   0
QSO:  7040 CW 2020-05-31 0327 HB9CAT        599 0419   IQ8SN         599 2020   0
QSO:  7048 CW 2020-05-31 0328 HB9CAT        599 0420   UW5U          599 1063   0
QSO:  7049 CW 2020-05-31 0328 HB9CAT        599 0421   WI9WI         599 1123   0
QSO:  3548 CW 2020-05-31 0338 HB9CAT        599 0422   KW4CW         599 0306   0
QSO:  3547 CW 2020-05-31 0338 HB9CAT        599 0423   I1HJT         599 0326   0
QSO:  3557 CW 2020-05-31 0340 HB9CAT        599 0424   OL4W          599 0613   0
QSO:  7047 CW 2020-05-31 0341 HB9CAT        599 0425   EN5V          599 1006   0
QSO:  7040 CW 2020-05-31 0342 HB9CAT        599 0426   OG70AD        599 0379   0
QSO:  7037 CW 2020-05-31 0343 HB9CAT        599 0427   ED5R          599 1405   0
QSO:  7036 CW 2020-05-31 0343 HB9CAT        599 0428   ES4RD         599 1262   0
QSO:  7033 CW 2020-05-31 0345 HB9CAT        599 0429   RU9SO         599 0558   0
QSO:  7029 CW 2020-05-31 0346 HB9CAT        599 0430   SC0N          599 1296   0
QSO:  7024 CW 2020-05-31 0348 HB9CAT        599 0431   KG0F          599 0880   0
QSO:  7022 CW 2020-05-31 0351 HB9CAT        599 0432   K0ZR          599 1039   0
QSO:  7013 CW 2020-05-31 0353 HB9CAT        599 0433   Z35T          599 1124   0
QSO:  7001 CW 2020-05-31 0354 HB9CAT        599 0434   IU8HPD        599 1165   0
QSO:  7000 CW 2020-05-31 0355 HB9CAT        599 0435   KM1W          599 1651   0
QSO:  7073 CW 2020-05-31 0356 HB9CAT        599 0436   KJ4QHL        599 0862   0
QSO:  7069 CW 2020-05-31 0358 HB9CAT        599 0437   AB2E          599 1297   0
QSO:  7058 CW 2020-05-31 0519 HB9CAT        599 0438   UT1WW         599 0298   0
QSO:  7051 CW 2020-05-31 0520 HB9CAT        599 0439   YT7A          599 0136   0
QSO:  7039 CW 2020-05-31 0521 HB9CAT        599 0440   YL4U          599 1158   0
QSO:  7033 CW 2020-05-31 0522 HB9CAT        599 0441   MM3N          599 0537   0
QSO:  7032 CW 2020-05-31 0523 HB9CAT        599 0442   9H1XT         599 0732   0
QSO:  7026 CW 2020-05-31 0524 HB9CAT        599 0443   EI0W          599 1506   0
QSO:  7022 CW 2020-05-31 0525 HB9CAT        599 0444   DK4LX         599 0367   0
QSO:  7021 CW 2020-05-31 0526 HB9CAT        599 0445   YR8D          599 1179   0
QSO:  7019 CW 2020-05-31 0527 HB9CAT        599 0446   E74A          599 0278   0
QSO:  7014 CW 2020-05-31 0528 HB9CAT        599 0447   IK3UNA        599 1441   0
QSO:  7008 CW 2020-05-31 0529 HB9CAT        599 0448   ZM4T          599 1576   0
QSO: 14027 CW 2020-05-31 0532 HB9CAT        599 0449   9A9A          599 2363   0
QSO: 14027 CW 2020-05-31 0532 HB9CAT        599 0450   RN5AA         599 0754   0
QSO: 14037 CW 2020-05-31 0533 HB9CAT        599 0451   HG0Y          599 1484   0
QSO: 14047 CW 2020-05-31 0533 HB9CAT        599 0452   SM2CEW        599 0006   0
QSO: 14054 CW 2020-05-31 0535 HB9CAT        599 0453   LY0A          599 0576   0
QSO: 14045 CW 2020-05-31 0536 HB9CAT        599 0454   UD4F          599 1651   0
QSO: 21004 CW 2020-05-31 0537 HB9CAT        599 0455   RZ4W          599 0205   0
QSO: 21009 CW 2020-05-31 0539 HB9CAT        599 0456   UZ5DX         599 0118   0
QSO: 21012 CW 2020-05-31 0539 HB9CAT        599 0457   R5WW          599 0771   0
QSO: 21012 CW 2020-05-31 0540 HB9CAT        599 0458   RZ8U          599 0220   0
QSO: 21022 CW 2020-05-31 0541 HB9CAT        599 0459   9A4W          599 1150   0
QSO: 28012 CW 2020-05-31 0543 HB9CAT        599 0460   RN9C          599 2395   0
QSO: 28021 CW 2020-05-31 0544 HB9CAT        599 0461   R9YC          599 0151   0
QSO: 28022 CW 2020-05-31 0544 HB9CAT        599 0462   RW4WA         599 0929   0
QSO: 28028 CW 2020-05-31 0545 HB9CAT        599 0463   SN2M          599 1030   0
QSO: 28030 CW 2020-05-31 0545 HB9CAT        599 0464   RA1QD         599 0263   0
QSO: 28034 CW 2020-05-31 0546 HB9CAT        599 0465   SP6A          599 0295   0
QSO:  7061 CW 2020-05-31 0547 HB9CAT        599 0466   OR2F          599 1506   0
QSO:  7058 CW 2020-05-31 0548 HB9CAT        599 0467   YO6KPT        599 0635   0
QSO:  7042 CW 2020-05-31 0549 HB9CAT        599 0468   IN3MNS        599 0258   0
QSO:  7036 CW 2020-05-31 0553 HB9CAT        599 0469   3Z1K          599 0246   0
QSO:  7034 CW 2020-05-31 0554 HB9CAT        599 0470   DG3T          599 0046   0
QSO:  7032 CW 2020-05-31 0555 HB9CAT        599 0471   DD5M          599 0890   0
QSO:  7026 CW 2020-05-31 0556 HB9CAT        599 0472   OO9O          599 0666   0
QSO:  7022 CW 2020-05-31 0557 HB9CAT        599 0473   DQ1V          599 0354   0
QSO:  7022 CW 2020-05-31 0557 HB9CAT        599 0474   DM3PKK        599 0908   0
QSO:  7018 CW 2020-05-31 0600 HB9CAT        599 0475   MM0T          599 0270   0
QSO:  7013 CW 2020-05-31 0601 HB9CAT        599 0476   DL8ULF        599 0808   0
QSO:  7012 CW 2020-05-31 0601 HB9CAT        599 0477   GM4OSS        599 0042   0
QSO:  7003 CW 2020-05-31 0602 HB9CAT        599 0478   OQ5M          599 2215   0
QSO: 28039 CW 2020-05-31 0606 HB9CAT        599 0479   RA3SI         599 0111   0
QSO: 28039 CW 2020-05-31 0606 HB9CAT        599 0480   UN9GD         599 0298   0
QSO: 28027 CW 2020-05-31 0607 HB9CAT        599 0481   RY4F          599 1867   0
QSO: 28023 CW 2020-05-31 0608 HB9CAT        599 0482   RQ4D          599 0274   0
QSO: 21045 CW 2020-05-31 0622 HB9CAT        599 0483   RK4FD         599 0690   0
QSO: 21030 CW 2020-05-31 0623 HB9CAT        599 0484   RV3ZN         599 0985   0
QSO: 14056 CW 2020-05-31 0625 HB9CAT        599 0485   RD4F          599 0513   0
QSO: 14046 CW 2020-05-31 0626 HB9CAT        599 0486   RC1W          599 1087   0
QSO: 14011 CW 2020-05-31 0628 HB9CAT        599 0487   UY5VA         599 1406   0
QSO: 14005 CW 2020-05-31 0629 HB9CAT        599 0488   EE2E          599 0121   0
QSO: 28048 CW 2020-05-31 0757 HB9CAT        599 0489   M5W           599 1054   0
QSO: 28061 CW 2020-05-31 0758 HB9CAT        599 0490   RU5A          599 0847   0
QSO: 21005 CW 2020-05-31 0758 HB9CAT        599 0491   RK9AX         599 0535   0
QSO: 21030 CW 2020-05-31 0801 HB9CAT        599 0492   EC7AMY        599 0084   0
QSO: 21040 CW 2020-05-31 0802 HB9CAT        599 0493   SO0N          599 0225   0
QSO: 21054 CW 2020-05-31 0803 HB9CAT        599 0494   EA7TG         599 0060   0
QSO: 21065 CW 2020-05-31 0906 HB9CAT        599 0495   DM30RSV       599 0503   0
QSO: 28018 CW 2020-05-31 0908 HB9CAT        599 0496   EA8OM         599 0380   0
QSO: 28020 CW 2020-05-31 0908 HB9CAT        599 0497   DH8BQA        599 1091   0
QSO: 28041 CW 2020-05-31 0909 HB9CAT        599 0498   UZ0U          599 1152   0
QSO: 21031 CW 2020-05-31 0940 HB9CAT        599 0499   RM9I          599 2456   0
QSO: 21044 CW 2020-05-31 0941 HB9CAT        599 0500   SN4EE         599 0165   0
QSO: 14011 CW 2020-05-31 0944 HB9CAT        599 0501   TM29X         599 2013   0
QSO: 14012 CW 2020-05-31 0945 HB9CAT        599 0502   UT3EV         599 0988   0
QSO: 21009 CW 2020-05-31 1247 HB9CAT        599 0503   OP5T          599 0852   0
QSO: 21069 CW 2020-05-31 1248 HB9CAT        599 0504   EA5HRT        599 0459   0
QSO: 28008 CW 2020-05-31 1252 HB9CAT        599 0505   TM73E         599 1288   0
QSO: 28027 CW 2020-05-31 1254 HB9CAT        599 0506   PG6F          599 0498   0
QSO: 28000 CW 2020-05-31 1434 HB9CAT        599 0507   F4BDG         599 0289   0
QSO: 28001 CW 2020-05-31 1435 HB9CAT        599 0508   LY5W          599 0742   0
QSO: 28001 CW 2020-05-31 1435 HB9CAT        599 0509   LZ3ND         599 1323   0
QSO: 28003 CW 2020-05-31 1436 HB9CAT        599 0510   YT5A          599 1310   0
QSO: 28003 CW 2020-05-31 1437 HB9CAT        599 0511   MM9I          599 1250   0
QSO: 28007 CW 2020-05-31 1438 HB9CAT        599 0512   DL3DXX        599 0226   0
QSO: 28011 CW 2020-05-31 1439 HB9CAT        599 0513   S55T          599 2593   0
QSO: 28012 CW 2020-05-31 1440 HB9CAT        599 0514   YR8I          599 0610   0
QSO: 28018 CW 2020-05-31 1441 HB9CAT        599 0515   UR8RF         599 0542   0
QSO: 28019 CW 2020-05-31 1442 HB9CAT        599 0516   MC2I          599 0838   0
QSO: 28020 CW 2020-05-31 1442 HB9CAT        599 0517   E77A          599 1378   0
QSO: 28021 CW 2020-05-31 1443 HB9CAT        599 0518   MM2N          599 0773   0
QSO: 28023 CW 2020-05-31 1444 HB9CAT        599 0519   SP3FYX        599 0225   0
QSO: 28025 CW 2020-05-31 1444 HB9CAT        599 0520   G4DRS         599 0680   0
QSO: 28027 CW 2020-05-31 1446 HB9CAT        599 0521   OY1CT         599 1344   0
QSO: 28028 CW 2020-05-31 1447 HB9CAT        599 0522   OR5T          599 1245   0
QSO: 28029 CW 2020-05-31 1447 HB9CAT        599 0523   SN1T          599 0956   0
QSO: 28031 CW 2020-05-31 1448 HB9CAT        599 0524   LZ6Y          599 2237   0
QSO: 28034 CW 2020-05-31 1450 HB9CAT        599 0525   MM3T          599 1028   0
QSO: 28036 CW 2020-05-31 1450 HB9CAT        599 0526   UZ2I          599 4518   0
QSO: 28039 CW 2020-05-31 1452 HB9CAT        599 0527   OS0S          599 0232   0
QSO: 28041 CW 2020-05-31 1452 HB9CAT        599 0528   UW7LL         599 2543   0
QSO: 28047 CW 2020-05-31 1454 HB9CAT        599 0529   SX2I          599 1173   0
QSO: 28047 CW 2020-05-31 1455 HB9CAT        599 0530   9A6A          599 1007   0
QSO: 28049 CW 2020-05-31 1455 HB9CAT        599 0531   UZ1WW         599 0737   0
QSO: 28050 CW 2020-05-31 1455 HB9CAT        599 0532   IR1G          599 0325   0
QSO: 28051 CW 2020-05-31 1456 HB9CAT        599 0533   LZ9A          599 1247   0
QSO: 28053 CW 2020-05-31 1457 HB9CAT        599 0534   DK9OY         599 0512   0
QSO: 28055 CW 2020-05-31 1458 HB9CAT        599 0535   HB9CIP        599 0225   0
QSO: 28060 CW 2020-05-31 1459 HB9CAT        599 0536   SQ6ELV        599 0178   0
QSO: 28067 CW 2020-05-31 1500 HB9CAT        599 0537   LX2LX         599 0263   0
QSO: 28071 CW 2020-05-31 1501 HB9CAT        599 0538   HA7UL         599 0025   0
QSO: 21002 CW 2020-05-31 1501 HB9CAT        599 0539   S57C          599 1902   0
QSO: 21003 CW 2020-05-31 1502 HB9CAT        599 0540   9A0AA         599 3068   0
QSO: 21005 CW 2020-05-31 1503 HB9CAT        599 0541   OK2BTJ        599 0532   0
QSO: 21006 CW 2020-05-31 1503 HB9CAT        599 0542   ON6NL         599 1826   0
QSO: 21008 CW 2020-05-31 1504 HB9CAT        599 0543   II2S          599 3032   0
QSO: 21010 CW 2020-05-31 1505 HB9CAT        599 0544   RL3A          599 2658   0
QSO: 21011 CW 2020-05-31 1506 HB9CAT        599 0545   F4BDG         599 0307   0
QSO: 21013 CW 2020-05-31 1506 HB9CAT        599 0546   HG1A          599 2284   0
QSO: 21014 CW 2020-05-31 1507 HB9CAT        599 0547   HG1S          599 1395   0
QSO: 21014 CW 2020-05-31 1507 HB9CAT        599 0548   SP4Z          599 0846   0
QSO: 21015 CW 2020-05-31 1507 HB9CAT        599 0549   HA9RT         599 1789   0
QSO: 21016 CW 2020-05-31 1508 HB9CAT        599 0550   HG6N          599 4440   0
QSO: 21019 CW 2020-05-31 1510 HB9CAT        599 0551   II9P          599 3333   0
QSO: 21020 CW 2020-05-31 1513 HB9CAT        599 0552   HB9DQL        599 1926   0
QSO: 21022 CW 2020-05-31 1513 HB9CAT        599 0553   9A5D          599 3304   0
QSO: 21025 CW 2020-05-31 1515 HB9CAT        599 0554   OE3K          599 2795   0
QSO: 21026 CW 2020-05-31 1516 HB9CAT        599 0555   DJ9DZ         599 1900   0
QSO: 21027 CW 2020-05-31 1517 HB9CAT        599 0556   S57K          599 2547   0
QSO: 21029 CW 2020-05-31 1517 HB9CAT        599 0557   IR1G          599 3293   0
QSO: 21029 CW 2020-05-31 1517 HB9CAT        599 0558   SP8R          599 3778   0
QSO: 21030 CW 2020-05-31 1518 HB9CAT        599 0559   S53MM         599 3028   0
QSO: 21031 CW 2020-05-31 1519 HB9CAT        599 0560   OM3BH         599 2877   0
QSO: 21032 CW 2020-05-31 1519 HB9CAT        599 0561   LX20I         599 1114   0
QSO: 21033 CW 2020-05-31 1520 HB9CAT        599 0562   YP3A          599 1940   0
QSO: 21033 CW 2020-05-31 1521 HB9CAT        599 0563   RD0A          599 0720   0
QSO: 21036 CW 2020-05-31 1523 HB9CAT        599 0564   HB5E          599 1938   0
QSO: 21037 CW 2020-05-31 1523 HB9CAT        599 0565   IQ8SN         599 2728   0
QSO: 21037 CW 2020-05-31 1524 HB9CAT        599 0566   EC5K          599 1380   0
QSO: 21038 CW 2020-05-31 1525 HB9CAT        599 0567   YR8D          599 1665   0
QSO: 21039 CW 2020-05-31 1525 HB9CAT        599 0568   UB7K          599 3941   0
QSO: 21039 CW 2020-05-31 1526 HB9CAT        599 0569   SN7Q          599 2983   0
QSO: 21042 CW 2020-05-31 1526 HB9CAT        599 0570   YT6W          599 2729   0
QSO: 21041 CW 2020-05-31 1527 HB9CAT        599 0571   GM3YOR        599 0591   0
QSO: 21044 CW 2020-05-31 1527 HB9CAT        599 0572   HA0HV         599 1317   0
QSO: 21045 CW 2020-05-31 1528 HB9CAT        599 0573   TM2Y          599 3493   0
QSO: 21049 CW 2020-05-31 1529 HB9CAT        599 0574   YL4U          599 1602   0
QSO: 21050 CW 2020-05-31 1530 HB9CAT        599 0575   LY5E          599 2816   0
QSO: 21051 CW 2020-05-31 1531 HB9CAT        599 0576   TM6M          599 1680   0
QSO: 21057 CW 2020-05-31 1531 HB9CAT        599 0577   OK1LL         599 0507   0
QSO: 21062 CW 2020-05-31 1532 HB9CAT        599 0578   DL1NEO        599 1400   0
QSO: 21063 CW 2020-05-31 1533 HB9CAT        599 0579   HA6NL         599 1293   0
QSO: 21064 CW 2020-05-31 1533 HB9CAT        599 0580   YP8T          599 2176   0
QSO: 21064 CW 2020-05-31 1533 HB9CAT        599 0581   OL5Y          599 1818   0
QSO: 21065 CW 2020-05-31 1534 HB9CAT        599 0582   LY4G          599 1029   0
QSO: 21066 CW 2020-05-31 1535 HB9CAT        599 0583   LB6GG         599 0085   0
QSO: 28069 CW 2020-05-31 1536 HB9CAT        599 0584   ON4CAU        599 0162   0
QSO: 28066 CW 2020-05-31 1537 HB9CAT        599 0585   OZ8PG         599 0144   0
QSO: 28065 CW 2020-05-31 1538 HB9CAT        599 0586   SP9W          599 0355   0
QSO: 28062 CW 2020-05-31 1538 HB9CAT        599 0587   EF1A          599 1136   0
QSO: 28055 CW 2020-05-31 1539 HB9CAT        599 0588   DC6K          599 1128   0
QSO: 28054 CW 2020-05-31 1540 HB9CAT        599 0589   SP1AEN        599 1249   0
QSO: 28049 CW 2020-05-31 1540 HB9CAT        599 0590   DM3PKK        599 1299   0
QSO: 28046 CW 2020-05-31 1541 HB9CAT        599 0591   RO9A          599 1196   0
