START-OF-LOG: 3.0
CALLSIGN: OP6AT
CONTEST: CQ-WW-CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 72660
NAME: Patrick Elyn
LOCATION: DX
OPERATORS: ON6AT
CLUB:
CERTIFICATE: YES
CREATED-BY: N1MM Logger+ 1.0.6903.0
SOAPBOX: FT-950 40w - ant R8 vert + W8010 Dip
QSO: 14021 CW 2017-11-26 1701 OP6AT         599 14     WB9Z          599 04
QSO: 14028 CW 2017-11-26 1705 OP6AT         599 14     W1/LZ4UX      599 05
QSO: 14028 CW 2017-11-26 1706 OP6AT         599 14     IK4DCX        599 15
QSO: 14029 CW 2017-11-26 1708 OP6AT         599 14     VE3EJ         599 04
QSO: 14030 CW 2017-11-26 1709 OP6AT         599 14     N2WKS         599 05
QSO: 14032 CW 2017-11-26 1710 OP6AT         599 14     K3WJV         599 05
QSO: 14035 CW 2017-11-26 1716 OP6AT         599 14     NN3Q          599 05
QSO: 14037 CW 2017-11-26 1717 OP6AT         599 14     W3UA          599 05
QSO: 14039 CW 2017-11-26 1721 OP6AT         599 14     CT9/R7KW      599 33
QSO: 14046 CW 2017-11-26 1723 OP6AT         599 14     VE3VEE        599 04
QSO:  7000 CW 2017-11-26 1902 OP6AT         599 14     UW5U          599 16
QSO:  7005 CW 2017-11-26 1907 OP6AT         599 14     NR3X          599 05
QSO:  7008 CW 2017-11-26 1909 OP6AT         599 14     IB9T          599 15
QSO:  7008 CW 2017-11-26 1909 OP6AT         599 14     TK0C          599 15
QSO:  7009 CW 2017-11-26 1910 OP6AT         599 14     UA7K          599 16
QSO:  7011 CW 2017-11-26 1913 OP6AT         599 14     UR7R          599 16
QSO:  7014 CW 2017-11-26 1917 OP6AT         599 14     R7AB          599 16
QSO:  7015 CW 2017-11-26 1918 OP6AT         599 14     9H6A          599 15
QSO:  7015 CW 2017-11-26 1920 OP6AT         599 14     W3UA          599 05
QSO:  7016 CW 2017-11-26 1924 OP6AT         599 14     HA60KNA       599 15
QSO:  7019 CW 2017-11-26 1947 OP6AT         599 14     IR2L          599 15
QSO:  7020 CW 2017-11-26 1953 OP6AT         599 14     S56X          599 15
QSO:  7021 CW 2017-11-26 1954 OP6AT         599 14     DF3CB         599 14
QSO:  7023 CW 2017-11-26 1956 OP6AT         599 14     UV5U          599 16
QSO:  7024 CW 2017-11-26 2004 OP6AT         599 14     EI5KF         599 14
QSO:  3501 CW 2017-11-26 2059 OP6AT         599 14     DL7ON         599 14
QSO:  3501 CW 2017-11-26 2100 OP6AT         599 14     OH5BM         599 15
QSO:  3502 CW 2017-11-26 2100 OP6AT         599 14     YU1YV         599 15
QSO:  3502 CW 2017-11-26 2102 OP6AT         599 14     YL2KO         599 15
QSO:  3503 CW 2017-11-26 2126 OP6AT         599 14     R4AN          599 16
QSO:  3504 CW 2017-11-26 2145 OP6AT         599 14     RW2F          599 15
QSO:  3505 CW 2017-11-26 2146 OP6AT         599 14     HG6N          599 15
QSO:  3506 CW 2017-11-26 2149 OP6AT         599 14     DK4YJ         599 14
QSO:  3507 CW 2017-11-26 2150 OP6AT         599 14     I4GAD         599 15
QSO:  3507 CW 2017-11-26 2151 OP6AT         599 14     OK1DJS        599 15
QSO:  3507 CW 2017-11-26 2152 OP6AT         599 14     EF8R          599 33
QSO:  3508 CW 2017-11-26 2153 OP6AT         599 14     OF5Z          599 15
QSO:  3509 CW 2017-11-26 2155 OP6AT         599 14     S57Z          599 15
QSO:  3510 CW 2017-11-26 2156 OP6AT         599 14     II9P          599 15
QSO:  3511 CW 2017-11-26 2157 OP6AT         599 14     OM7LM         599 15
QSO:  3511 CW 2017-11-26 2159 OP6AT         599 14     S57AL         599 15
QSO:  3512 CW 2017-11-26 2201 OP6AT         599 14     LY8O          599 15
QSO:  3512 CW 2017-11-26 2202 OP6AT         599 14     YT1EA         599 15
QSO:  3512 CW 2017-11-26 2203 OP6AT         599 14     HG1R          599 15
QSO:  3513 CW 2017-11-26 2204 OP6AT         599 14     S53Z          599 15
QSO:  3514 CW 2017-11-26 2205 OP6AT         599 14     LY6A          599 15
QSO:  3515 CW 2017-11-26 2207 OP6AT         599 14     UZ2I          599 16
QSO:  3515 CW 2017-11-26 2208 OP6AT         599 14     CN2AA         599 33
QSO:  3515 CW 2017-11-26 2209 OP6AT         599 14     SP5XO         599 15
QSO:  3516 CW 2017-11-26 2211 OP6AT         599 14     9H6A          599 15
QSO:  3516 CW 2017-11-26 2212 OP6AT         599 14     DL0GL         599 14
QSO:  3520 CW 2017-11-26 2216 OP6AT         599 14     PA0O          599 14
QSO:  3521 CW 2017-11-26 2217 OP6AT         599 14     9A8M          599 15
QSO:  3521 CW 2017-11-26 2218 OP6AT         599 14     OL0W          599 15
QSO:  3521 CW 2017-11-26 2219 OP6AT         599 14     SP3IPB        599 15
QSO:  3522 CW 2017-11-26 2220 OP6AT         599 14     SO9M          599 15
QSO:  3523 CW 2017-11-26 2221 OP6AT         599 14     GS8VL         599 14
QSO:  3523 CW 2017-11-26 2229 OP6AT         599 14     EI0R          599 14
QSO:  3524 CW 2017-11-26 2232 OP6AT         599 14     OK2RRR        599 15
