START-OF-LOG: 3.0
CALLSIGN: UN7PGA
CONTEST: CQ-WW-CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: 15M
CATEGORY-POWER: LOW
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE:
NAME: OLEG
LOCATION: DX
CLUB:
CERTIFICATE: NO
CREATED-BY: UR5EQF log v.3.31-60
SOAPBOX: FT 950, Delta  20    Inv  40
QSO: 21049 CW 2017-11-25 0949 UN7PGA        599 17     DL2CC         599 14
QSO: 21019 CW 2017-11-25 0951 UN7PGA        599 17     SO4M          599 15
QSO: 21017 CW 2017-11-25 0952 UN7PGA        599 17     EF5F          599 14
QSO: 21062 CW 2017-11-25 0955 UN7PGA        599 17     DK1KC         599 14
QSO: 21062 CW 2017-11-25 0955 UN7PGA        599 17     R3GD          599 16
QSO: 21062 CW 2017-11-25 0956 UN7PGA        599 17     TM1T          599 14
QSO: 21062 CW 2017-11-25 0957 UN7PGA        599 17     CN2AA         599 33
QSO: 21062 CW 2017-11-25 0958 UN7PGA        599 17     UR6IJ         599 16
QSO: 21062 CW 2017-11-25 0959 UN7PGA        599 17     LY1R          599 15
QSO: 21062 CW 2017-11-25 0959 UN7PGA        599 17     DH0GHU        599 14
QSO: 21062 CW 2017-11-25 1000 UN7PGA        599 17     LY2AX         599 15
QSO: 21062 CW 2017-11-25 1001 UN7PGA        599 17     ES1CN         599 15
QSO: 21062 CW 2017-11-25 1003 UN7PGA        599 17     DK2GZ         599 14
QSO: 21062 CW 2017-11-25 1005 UN7PGA        599 17     UA1NFA        599 16
QSO: 21062 CW 2017-11-25 1006 UN7PGA        599 17     YO4PX         599 20
QSO: 21062 CW 2017-11-25 1008 UN7PGA        599 17     F9CI          599 14
QSO: 21064 CW 2017-11-25 1016 UN7PGA        599 17     LX4A          599 14
QSO:  7010 CW 2017-11-25 1035 UN7PGA        599 17     RW0A          599 18
QSO:  7016 CW 2017-11-25 1036 UN7PGA        599 17     RT0F          599 19
QSO:  7018 CW 2017-11-25 1037 UN7PGA        599 17     DS4EOI        599 25
QSO:  7025 CW 2017-11-25 1039 UN7PGA        599 17     UD8V          599 18
QSO: 14037 CW 2017-11-25 1041 UN7PGA        599 17     HA8M          599 15
QSO: 21064 CW 2017-11-25 1045 UN7PGA        599 17     Z35Y          599 15
QSO: 21067 CW 2017-11-25 1048 UN7PGA        599 17     CR2M          599 14
QSO: 21025 CW 2017-11-25 1052 UN7PGA        599 17     II9P          599 15
QSO: 21020 CW 2017-11-25 1053 UN7PGA        599 17     R7AB          599 16
QSO: 21015 CW 2017-11-25 1054 UN7PGA        599 17     OL1C          599 15
QSO: 21070 CW 2017-11-25 1055 UN7PGA        599 17     UA2FZ         599 15
QSO: 21065 CW 2017-11-25 1058 UN7PGA        599 17     RC7A          599 16
QSO: 21018 CW 2017-11-26 0518 UN7PGA        599 17     YE2C          599 28
QSO: 21054 CW 2017-11-26 0528 UN7PGA        599 17     JA5FDJ        599 25
QSO: 21036 CW 2017-11-26 0529 UN7PGA        599 17     JN1NOP        599 25
QSO: 21049 CW 2017-11-26 0532 UN7PGA        599 17     JH1RRP        599 25
QSO: 21049 CW 2017-11-26 0535 UN7PGA        599 17     VU2DEN        599 22
QSO: 21049 CW 2017-11-26 0536 UN7PGA        599 17     UA6YH         599 16
QSO: 21021 CW 2017-11-26 0540 UN7PGA        599 17     JT5DX         599 23
QSO: 21040 CW 2017-11-26 0542 UN7PGA        599 17     JR4OZR        599 25
QSO: 21028 CW 2017-11-26 0544 UN7PGA        599 17     JA3YBK        599 25
QSO: 21030 CW 2017-11-26 0551 UN7PGA        599 17     3W1T          599 26
QSO: 21047 CW 2017-11-26 0612 UN7PGA        599 17     JH8SLS        599 25
QSO: 21015 CW 2017-11-26 0614 UN7PGA        599 17     BI4SSB        599 24
QSO: 21018 CW 2017-11-26 0615 UN7PGA        599 17     UX0HO         599 16
QSO: 21018 CW 2017-11-26 0617 UN7PGA        599 17     SP5AUY        599 15
QSO: 21018 CW 2017-11-26 0618 UN7PGA        599 17     JG3FEA        599 25
QSO: 21018 CW 2017-11-26 0618 UN7PGA        599 17     JA4DWG        599 25
QSO: 21018 CW 2017-11-26 0619 UN7PGA        599 17     JA2HYD        599 25
QSO: 21018 CW 2017-11-26 0619 UN7PGA        599 17     LZ2HA         599 20
QSO: 21018 CW 2017-11-26 0620 UN7PGA        599 17     JA6LJN        599 25
