START-OF-LOG: 3.0
CALLSIGN: SM7ZDI
CONTEST: CQ-WW-CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: 80M
CATEGORY-POWER: LOW
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE:
NAME: Vic Pleshkevich
LOCATION: DX
OPERATORS: SM7ZDI
CLUB:
CERTIFICATE: YES
CREATED-BY: WINLOG32 v7.3.11
SOAPBOX: Casual entry as time permitted - mostly running with some S&P
QSO:  3500 CW 2017-11-26 0542 SM7ZDI        599 14     YU0U          599 15     0
QSO:  3500 CW 2017-11-26 0543 SM7ZDI        599 14     OK1PFM        599 15     0
QSO:  3500 CW 2017-11-26 0544 SM7ZDI        599 14     EE3X          599 14     0
QSO:  3500 CW 2017-11-26 0546 SM7ZDI        599 14     EA5WU         599 14     0
QSO:  3500 CW 2017-11-26 0546 SM7ZDI        599 14     9A1A          599 15     0
QSO:  3500 CW 2017-11-26 0548 SM7ZDI        599 14     IZ4JMA        599 15     0
QSO:  3500 CW 2017-11-26 0549 SM7ZDI        599 14     HA1AS         599 15     0
QSO:  3500 CW 2017-11-26 0550 SM7ZDI        599 14     OK2PAD        599 15     0
QSO:  3500 CW 2017-11-26 0550 SM7ZDI        599 14     DH2URF        599 14     0
QSO:  3500 CW 2017-11-26 0551 SM7ZDI        599 14     UT3UCP        599 16     0
QSO:  3500 CW 2017-11-26 0552 SM7ZDI        599 14     OK6K          599 15     0
QSO:  3500 CW 2017-11-26 0552 SM7ZDI        599 14     DF7GG         599 14     0
QSO:  3500 CW 2017-11-26 0553 SM7ZDI        599 14     UR5WFP        599 16     0
QSO:  3500 CW 2017-11-26 0554 SM7ZDI        599 14     PI4CC         599 14     0
QSO:  3500 CW 2017-11-26 0555 SM7ZDI        599 14     UR5R          599 16     0
QSO:  3500 CW 2017-11-26 0556 SM7ZDI        599 14     RA3XCZ        599 16     0
QSO:  3500 CW 2017-11-26 0558 SM7ZDI        599 14     OM3R          599 15     0
QSO:  3500 CW 2017-11-26 0559 SM7ZDI        599 14     IK3ORD        599 15     0
QSO:  3500 CW 2017-11-26 0600 SM7ZDI        599 14     OK2BV         599 15     0
QSO:  3500 CW 2017-11-26 0601 SM7ZDI        599 14     UR5WIF        599 16     0
QSO:  3500 CW 2017-11-26 0601 SM7ZDI        599 14     OK6N          599 15     0
QSO:  3500 CW 2017-11-26 0602 SM7ZDI        599 14     DL1EFW        599 14     0
QSO:  3500 CW 2017-11-26 0603 SM7ZDI        599 14     HG0R          599 15     0
QSO:  3500 CW 2017-11-26 0604 SM7ZDI        599 14     OK1IBP        599 15     0
QSO:  3500 CW 2017-11-26 0604 SM7ZDI        599 14     F5LMJ         599 14     0
QSO:  3500 CW 2017-11-26 0607 SM7ZDI        599 14     YO4CSL        599 20     0
