START-OF-LOG: 3.0
CONTEST: CQ-WW-SSB
CALLSIGN: DL7CX
LOCATION: DX
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY: CLASSIC
CLAIMED-SCORE: 580720
NAME: Olaf Brunner
CLUB: Bavarian Contest Club
CERTIFICATE: NO
CREATED-BY: Win-Test 4.20.0
SOAPBOX: During a GMA (global mountain activity) I used dl7cx/p with qrp.
SOAPBOX: I hope that is not too be confused
SOAPBOX: because the maintime I was in the contest with dl7cx only.
SOAPBOX: On the end I made the 2 logs together. 73 Olaf
QSO: 14200 PH 2018-10-27 1431 DL7CX         59  14     EC4DX         59  14     0
QSO: 14200 PH 2018-10-27 1433 DL7CX         59  14     EA9KB         59  33     0
QSO: 14200 PH 2018-10-27 1436 DL7CX         59  14     TC2MK         59  20     0
QSO: 14189 PH 2018-10-27 1546 DL7CX         59  14     9H6A          59  15     0
QSO: 14189 PH 2018-10-27 1547 DL7CX         59  14     SV1BMR        59  20     0
QSO: 14189 PH 2018-10-27 1548 DL7CX         59  14     EA2VE         59  14     0
QSO: 14189 PH 2018-10-27 1552 DL7CX         59  14     9H3HZ         59  15     0
QSO: 14189 PH 2018-10-27 1553 DL7CX         59  14     OX7A          59  40     0
QSO: 14189 PH 2018-10-27 1557 DL7CX         59  14     EE5V          59  14     0
QSO: 14189 PH 2018-10-27 1558 DL7CX         59  14     C4A           59  20     0
QSO: 14189 PH 2018-10-27 1559 DL7CX         59  14     EA5ON         59  14     0
QSO: 14189 PH 2018-10-27 1601 DL7CX         59  14     F6DZU         59  14     0
QSO: 14189 PH 2018-10-27 1606 DL7CX         59  14     EA1FDI        59  14     0
QSO: 21228 PH 2018-10-27 1702 DL7CX         59  14     D4C           59  35     0
QSO: 21320 PH 2018-10-27 1703 DL7CX         59  14     EF8R          59  33     0
QSO: 21220 PH 2018-10-27 1708 DL7CX         59  14     LU1VM         59  13     0
QSO: 21170 PH 2018-10-27 1708 DL7CX         59  14     6W1PZ         59  35     0
QSO: 21183 PH 2018-10-27 1709 DL7CX         59  14     PT2AW         59  11     0
QSO: 21191 PH 2018-10-27 1709 DL7CX         59  14     PY0F          59  11     0
QSO: 21293 PH 2018-10-27 1711 DL7CX         59  14     PY2CX         59  11     0
QSO: 21242 PH 2018-10-27 1711 DL7CX         59  14     ZP5DA         59  11     0
QSO: 21208 PH 2018-10-27 1713 DL7CX         59  14     CE3CT         59  12     0
QSO:  7148 PH 2018-10-27 2010 DL7CX         59  14     9K2HN         59  21     0
QSO:  7114 PH 2018-10-27 2011 DL7CX         59  14     S0S           59  33     0
QSO:  7096 PH 2018-10-27 2011 DL7CX         59  14     CN2CO         59  33     0
QSO:  7084 PH 2018-10-27 2011 DL7CX         59  14     SZ1A          59  20     0
QSO:  7090 PH 2018-10-27 2013 DL7CX         59  14     UP0L          59  17     0
QSO:  7087 PH 2018-10-27 2014 DL7CX         59  14     CT7AJL        59  14     0
QSO:  7125 PH 2018-10-27 2015 DL7CX         59  14     TF2R          59  40     0
QSO:  7187 PH 2018-10-27 2016 DL7CX         59  14     K2LE          59  05     0
QSO:  7157 PH 2018-10-27 2017 DL7CX         59  14     KC1XX         59  05     0
QSO:  1854 PH 2018-10-27 2027 DL7CX         59  14     ES9C          59  15     0
QSO:  1902 PH 2018-10-27 2028 DL7CX         59  14     OZ4EDR        59  14     0
QSO:  1871 PH 2018-10-27 2028 DL7CX         59  14     P33W          59  20     0
QSO:  1866 PH 2018-10-27 2029 DL7CX         59  14     4U1A          59  15     0
QSO:  1853 PH 2018-10-27 2030 DL7CX         59  14     OK1OA         59  15     0
QSO:  1853 PH 2018-10-27 2032 DL7CX         59  14     YL2PP         59  15     0
QSO:  1853 PH 2018-10-27 2032 DL7CX         59  14     DL7UM         59  14     0
QSO:  1853 PH 2018-10-27 2032 DL7CX         59  14     DR2P          59  14     0
QSO:  1853 PH 2018-10-27 2033 DL7CX         59  14     OH5Z          59  15     0
QSO:  1853 PH 2018-10-27 2033 DL7CX         59  14     DL2GPK        59  14     0
QSO:  1853 PH 2018-10-27 2034 DL7CX         59  14     OE5TPM        59  15     0
QSO:  1853 PH 2018-10-27 2034 DL7CX         59  14     EA1EVS        59  14     0
QSO:  1853 PH 2018-10-27 2035 DL7CX         59  14     HA7I          59  15     0
QSO:  1853 PH 2018-10-27 2035 DL7CX         59  14     DM5EM         59  14     0
QSO:  1853 PH 2018-10-27 2036 DL7CX         59  14     M0REG         59  14     0
QSO:  1853 PH 2018-10-27 2036 DL7CX         59  14     UX1VT         59  16     0
QSO:  1853 PH 2018-10-27 2036 DL7CX         59  14     OK1BJ         59  15     0
QSO:  1853 PH 2018-10-27 2037 DL7CX         59  14     LZ2F          59  20     0
QSO:  1853 PH 2018-10-27 2037 DL7CX         59  14     SP2PIK        59  15     0
QSO:  1853 PH 2018-10-27 2038 DL7CX         59  14     UT2AA         59  16     0
QSO:  1853 PH 2018-10-27 2038 DL7CX         59  14     OM5KM         59  15     0
QSO:  1853 PH 2018-10-27 2039 DL7CX         59  14     OK1JOK        59  15     0
QSO:  1853 PH 2018-10-27 2039 DL7CX         59  14     OM0WR         59  15     0
QSO:  1853 PH 2018-10-27 2040 DL7CX         59  14     IR3Z          59  15     0
QSO:  1853 PH 2018-10-27 2040 DL7CX         59  14     SV6JHA        59  20     0
QSO:  1853 PH 2018-10-27 2040 DL7CX         59  14     OL100RCS      59  15     0
QSO:  1853 PH 2018-10-27 2040 DL7CX         59  14     S53O          59  15     0
QSO:  1853 PH 2018-10-27 2041 DL7CX         59  14     DL1NKS        59  14     0
QSO:  1853 PH 2018-10-27 2041 DL7CX         59  14     OZ5E          59  14     0
QSO:  1853 PH 2018-10-27 2041 DL7CX         59  14     EI5GUB        59  14     0
QSO:  1853 PH 2018-10-27 2042 DL7CX         59  14     OG51W         59  15     0
QSO:  1853 PH 2018-10-27 2042 DL7CX         59  14     YO2LXW        59  20     0
QSO:  1853 PH 2018-10-27 2043 DL7CX         59  14     EI9E          59  14     0
QSO:  1853 PH 2018-10-27 2043 DL7CX         59  14     GM2T          59  14     0
QSO:  1853 PH 2018-10-27 2043 DL7CX         59  14     DO2KC         59  14     0
QSO:  1853 PH 2018-10-27 2044 DL7CX         59  14     PI4AMF        59  14     0
QSO:  1853 PH 2018-10-27 2044 DL7CX         59  14     G3Q           59  14     0
QSO:  1853 PH 2018-10-27 2045 DL7CX         59  14     SP6OJK        59  15     0
QSO:  1853 PH 2018-10-27 2045 DL7CX         59  14     SA6U          59  14     0
QSO:  1853 PH 2018-10-27 2045 DL7CX         59  14     SP6A          59  15     0
QSO:  1853 PH 2018-10-27 2045 DL7CX         59  14     SM3LBN        59  14     0
QSO:  1853 PH 2018-10-27 2046 DL7CX         59  14     LC1U          59  14     0
QSO:  1853 PH 2018-10-27 2046 DL7CX         59  14     G6MC          59  14     0
QSO:  1853 PH 2018-10-27 2046 DL7CX         59  14     YT5IVN        59  15     0
QSO:  1853 PH 2018-10-27 2047 DL7CX         59  14     RA3BL         59  16     0
QSO:  1853 PH 2018-10-27 2047 DL7CX         59  14     HB9EOU        59  14     0
QSO:  1853 PH 2018-10-27 2047 DL7CX         59  14     LX8M          59  14     0
QSO:  1853 PH 2018-10-27 2048 DL7CX         59  14     DK0OF         59  14     0
QSO:  1853 PH 2018-10-27 2048 DL7CX         59  14     EU1A          59  16     0
QSO:  1853 PH 2018-10-27 2048 DL7CX         59  14     I1RB          59  15     0
QSO:  1853 PH 2018-10-27 2049 DL7CX         59  14     IQ3BM         59  15     0
QSO:  1853 PH 2018-10-27 2049 DL7CX         59  14     EA4YC         59  14     0
QSO:  1853 PH 2018-10-27 2050 DL7CX         59  14     OZ7D          59  14     0
QSO:  1853 PH 2018-10-27 2051 DL7CX         59  14     HG7T          59  15     0
QSO:  1853 PH 2018-10-27 2051 DL7CX         59  14     OE100TKW      59  15     0
QSO:  1853 PH 2018-10-27 2051 DL7CX         59  14     LA4C          59  14     0
QSO:  1853 PH 2018-10-27 2051 DL7CX         59  14     OE9DGV        59  15     0
QSO:  1853 PH 2018-10-27 2052 DL7CX         59  14     DO6LE         59  14     0
QSO:  1853 PH 2018-10-27 2052 DL7CX         59  14     UX5IS         59  16     0
QSO:  1853 PH 2018-10-27 2053 DL7CX         59  14     G3RCM         59  14     0
QSO:  1853 PH 2018-10-27 2053 DL7CX         59  14     HA1TI         59  15     0
QSO:  1853 PH 2018-10-27 2054 DL7CX         59  14     SP1NY         59  15     0
QSO:  1853 PH 2018-10-27 2054 DL7CX         59  14     SN5O          59  15     0
QSO:  1853 PH 2018-10-27 2054 DL7CX         59  14     SQ7CL         59  15     0
QSO:  1853 PH 2018-10-27 2055 DL7CX         59  14     PA6AA         59  14     0
QSO:  1853 PH 2018-10-27 2055 DL7CX         59  14     IK2YCW        59  15     0
QSO:  1853 PH 2018-10-27 2055 DL7CX         59  14     EE5V          59  14     0
QSO:  1853 PH 2018-10-27 2056 DL7CX         59  14     YR0MB         59  20     0
QSO:  1853 PH 2018-10-27 2056 DL7CX         59  14     OH2GEK        59  15     0
QSO:  1853 PH 2018-10-27 2057 DL7CX         59  14     PC2L          59  14     0
QSO:  1853 PH 2018-10-27 2058 DL7CX         59  14     M1ENI         59  14     0
QSO:  1853 PH 2018-10-27 2058 DL7CX         59  14     DJ1AA         59  14     0
QSO:  1853 PH 2018-10-27 2058 DL7CX         59  14     HA5NB         59  15     0
QSO:  1853 PH 2018-10-27 2059 DL7CX         59  14     UA1OMS        59  16     0
QSO:  1853 PH 2018-10-27 2059 DL7CX         59  14     OK1DKR        59  15     0
QSO:  1853 PH 2018-10-27 2059 DL7CX         59  14     DL0II         59  14     0
QSO:  1853 PH 2018-10-27 2100 DL7CX         59  14     SQ3JPL        59  15     0
QSO:  1853 PH 2018-10-27 2101 DL7CX         59  14     EE3E          59  14     0
QSO:  1853 PH 2018-10-27 2101 DL7CX         59  14     M6T           59  14     0
QSO:  1853 PH 2018-10-27 2102 DL7CX         59  14     OH6GDX        59  15     0
QSO:  1853 PH 2018-10-27 2103 DL7CX         59  14     RW0A          59  18     0
QSO:  1853 PH 2018-10-27 2104 DL7CX         59  14     OE6HWF        59  15     0
QSO:  1853 PH 2018-10-27 2104 DL7CX         59  14     UR5AS         59  16     0
QSO:  1853 PH 2018-10-27 2105 DL7CX         59  14     OH6ECM        59  15     0
QSO:  1853 PH 2018-10-27 2105 DL7CX         59  14     SP5AKP        59  15     0
QSO:  1853 PH 2018-10-27 2105 DL7CX         59  14     G6XX          59  14     0
QSO:  1853 PH 2018-10-27 2107 DL7CX         59  14     UR5ER         59  16     0
QSO:  3614 PH 2018-10-27 2112 DL7CX         59  14     A73A          59  21     0
QSO:  3621 PH 2018-10-27 2112 DL7CX         59  14     EA3CI         59  14     0
QSO:  3640 PH 2018-10-27 2112 DL7CX         59  14     Z33F          59  15     0
QSO:  3627 PH 2018-10-27 2113 DL7CX         59  14     OM0R          59  15     0
QSO:  3734 PH 2018-10-27 2115 DL7CX         59  14     9K2HN         59  21     0
QSO:  3750 PH 2018-10-27 2115 DL7CX         59  14     C4A           59  20     0
QSO:  3785 PH 2018-10-27 2116 DL7CX         59  14     S50C          59  15     0
QSO:  3776 PH 2018-10-27 2116 DL7CX         59  14     UP2L          59  17     0
QSO:  3770 PH 2018-10-27 2117 DL7CX         59  14     RT6A          59  16     0
QSO:  3756 PH 2018-10-27 2117 DL7CX         59  14     YO7CVL        59  20     0
QSO:  3747 PH 2018-10-27 2117 DL7CX         59  14     EU1A          59  16     0
QSO:  3773 PH 2018-10-27 2117 DL7CX         59  14     ES9C          59  15     0
QSO:  3738 PH 2018-10-27 2118 DL7CX         59  14     HG7T          59  15     0
QSO:  3723 PH 2018-10-27 2118 DL7CX         59  14     9A7A          59  15     0
QSO:  3721 PH 2018-10-27 2118 DL7CX         59  14     SN8B          59  15     0
QSO:  3714 PH 2018-10-27 2118 DL7CX         59  14     I1JTQ         59  15     0
QSO:  3702 PH 2018-10-27 2119 DL7CX         59  14     CR6P          59  14     0
QSO:  3698 PH 2018-10-27 2120 DL7CX         59  14     UW8SM         59  16     0
QSO:  3703 PH 2018-10-27 2121 DL7CX         59  14     OK5D          59  15     0
QSO:  3788 PH 2018-10-27 2122 DL7CX         59  14     OK1GTH        59  15     0
QSO:  1873 PH 2018-10-27 2128 DL7CX         59  14     GD9W          59  14     0
QSO:  1864 PH 2018-10-28 0448 DL7CX         59  14     II2S          59  15     0
QSO:  1864 PH 2018-10-28 0448 DL7CX         59  14     G4WPD         59  14     0
QSO:  1864 PH 2018-10-28 0449 DL7CX         59  14     OM5WW         59  15     0
QSO:  1864 PH 2018-10-28 0450 DL7CX         59  14     I0LYO         59  15     0
QSO:  1864 PH 2018-10-28 0451 DL7CX         59  14     UT1S          59  16     0
QSO:  1850 PH 2018-10-28 0455 DL7CX         59  14     CR6P          59  14     0
QSO:  1834 PH 2018-10-28 0455 DL7CX         59  14     OH0V          59  15     0
QSO:  1856 PH 2018-10-28 0502 DL7CX         59  14     K3LR          59  05     0
QSO:  3612 PH 2018-10-28 0510 DL7CX         59  14     ED9E          59  33     0
QSO:  3614 PH 2018-10-28 0510 DL7CX         59  14     RW2F          59  15     0
QSO:  3638 PH 2018-10-28 0510 DL7CX         59  14     DJ8OG         59  14     0
QSO:  3644 PH 2018-10-28 0511 DL7CX         59  14     CR2L          59  14     0
QSO:  3667 PH 2018-10-28 0511 DL7CX         59  14     PJ4G          59  09     0
QSO:  3630 PH 2018-10-28 0519 DL7CX         59  14     LA4C          59  14     0
QSO:  3630 PH 2018-10-28 0519 DL7CX         59  14     LA9TY         59  14     0
