START-OF-LOG: 3.0
CALLSIGN: IQ2CU
CONTEST: CQ-WPX-CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: 20M
CATEGORY-POWER: LOW
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 240846
NAME: ANTONIO BONETTI
LOCATION: DX
OPERATORS: IN3OWY
CLUB:
CERTIFICATE: NO
CREATED-BY: MixW 2.19
SOAPBOX: TS-590  95 W    ANT.  VERTICAL
QSO: 14034 CW 2017-05-28 1955 IQ2CU         599 321    IT9SSI        599 568
QSO: 14035 CW 2017-05-28 1956 IQ2CU         599 322    HG1R          599 1466
QSO: 14035 CW 2017-05-28 1957 IQ2CU         599 323    YT3X          599 2112
QSO: 14037 CW 2017-05-28 2001 IQ2CU         599 324    OV3X          599 1188
QSO: 14040 CW 2017-05-28 2003 IQ2CU         599 325    SO9M          599 1534
QSO: 14043 CW 2017-05-28 2006 IQ2CU         599 326    F5IN          599 1956
QSO: 14046 CW 2017-05-28 2007 IQ2CU         599 327    LZ1VKD        599 028
QSO: 14069 CW 2017-05-28 2011 IQ2CU         599 328    G4KZD         599 565
QSO: 14007 CW 2017-05-28 2019 IQ2CU         599 329    DL0WW         599 1713
QSO: 14005 CW 2017-05-28 2021 IQ2CU         599 330    NN5J          599 2560
QSO: 14005 CW 2017-05-28 2022 IQ2CU         599 331    KQ2M          599 2737
QSO: 14003 CW 2017-05-28 2026 IQ2CU         599 332    KP2M          599 3177
QSO: 14002 CW 2017-05-28 2030 IQ2CU         599 333    PS2T          599 2191
QSO: 14009 CW 2017-05-28 2035 IQ2CU         599 334    LU2FE         599 1904
QSO: 14012 CW 2017-05-28 2037 IQ2CU         599 335    KF3B          599 883
QSO: 14013 CW 2017-05-28 2040 IQ2CU         599 336    S53O          599 1611
QSO: 14019 CW 2017-05-28 2046 IQ2CU         599 337    M1GEO         599 376
QSO: 14025 CW 2017-05-28 2050 IQ2CU         599 338    G4R           599 1918
QSO: 14025 CW 2017-05-28 2052 IQ2CU         599 339    OK7Y          599 1224
QSO: 14027 CW 2017-05-28 2055 IQ2CU         599 340    KE1J          599 609
QSO: 14040 CW 2017-05-28 2059 IQ2CU         599 341    EF2A          599 2974
QSO: 14043 CW 2017-05-28 2101 IQ2CU         599 342    WK1Q          599 1857
QSO: 14043 CW 2017-05-28 2102 IQ2CU         599 343    VE3EJ         599 2457
QSO: 14043 CW 2017-05-28 2106 IQ2CU         599 344    K4GMH         599 208
QSO: 14046 CW 2017-05-28 2107 IQ2CU         599 345    K3EL          599 1645
QSO: 14047 CW 2017-05-28 2109 IQ2CU         599 346    G4DBW         599 320
QSO: 14047 CW 2017-05-28 2110 IQ2CU         599 347    DF4XX         599 1610
QSO: 14047 CW 2017-05-28 2111 IQ2CU         599 348    VE2BWL        599 1453
QSO: 14050 CW 2017-05-28 2113 IQ2CU         599 349    OR3A          599 559
QSO: 14055 CW 2017-05-28 2116 IQ2CU         599 350    ZF2DO         599 1857
QSO: 14061 CW 2017-05-28 2120 IQ2CU         599 351    IZ8EFD        599 692
QSO: 14007 CW 2017-05-28 2129 IQ2CU         599 352    KI1G          599 182
QSO: 14014 CW 2017-05-28 2134 IQ2CU         599 353    OL4A          599 2506
QSO: 14019 CW 2017-05-28 2136 IQ2CU         599 354    SP5WA         599 1027
QSO: 14019 CW 2017-05-28 2138 IQ2CU         599 355    G3P           599 063
QSO: 14022 CW 2017-05-28 2140 IQ2CU         599 356    F5PRH         599 1005
QSO: 14043 CW 2017-05-28 2146 IQ2CU         599 357    IK8UND        599 1692
QSO: 14050 CW 2017-05-28 2149 IQ2CU         599 358    KE1S          599 873
QSO: 14064 CW 2017-05-28 2200 IQ2CU         599 359    IT9UFP        599 143
QSO: 14018 CW 2017-05-28 2210 IQ2CU         599 360    W1TO          599 377
QSO: 14023 CW 2017-05-28 2212 IQ2CU         599 361    N4WW          599 2707
QSO: 14027 CW 2017-05-28 2214 IQ2CU         599 362    M8C           599 538
QSO: 14060 CW 2017-05-28 2219 IQ2CU         599 363    K0LUZ         599 1321
QSO: 14010 CW 2017-05-28 2223 IQ2CU         599 364    N3QE          599 1899
QSO: 14006 CW 2017-05-28 2225 IQ2CU         599 365    P44X          599 1816
QSO: 14053 CW 2017-05-28 2233 IQ2CU         599 366    K3TC          599 778
END-OF-LOG:
