START-OF-LOG: 3.0
CONTEST: CQ-WW-RTTY
CALLSIGN: K8AJS
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: RTTY
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 94656
NAME: John Bastin
LOCATION: OH
OPERATORS: K8AJS
CLUB: Mad River Radio Club
CREATED-BY: N1MM Logger+ 1.0.7954.0
SOAPBOX: QSL with W5MMW 2019-09-28 1909Z I know the zone is incorrect, but
SOAPBOX: that is what he sent, so that is what I logged.
QSO: 14116 RY 2019-09-28 1310 K8AJS         599 04 OH  K2ADA         599 05 FL
QSO: 14117 RY 2019-09-28 1312 K8AJS         599 04 OH  EW6W          599 16 DX
QSO: 14118 RY 2019-09-28 1313 K8AJS         599 04 OH  HG1S          599 15 DX
QSO: 14119 RY 2019-09-28 1314 K8AJS         599 04 OH  OZ11A         599 14 DX
QSO: 14119 RY 2019-09-28 1315 K8AJS         599 04 OH  PA7WW         599 14 DX
QSO: 14120 RY 2019-09-28 1316 K8AJS         599 04 OH  LZ6Y          599 20 DX
QSO: 14121 RY 2019-09-28 1317 K8AJS         599 04 OH  S53S          599 15 DX
QSO: 14121 RY 2019-09-28 1318 K8AJS         599 04 OH  I0WBX         599 15 DX
QSO: 14126 RY 2019-09-28 1321 K8AJS         599 04 OH  G0BNR         599 14 DX
QSO: 14126 RY 2019-09-28 1321 K8AJS         599 04 OH  KO7SS         599 03 AZ
QSO: 14127 RY 2019-09-28 1322 K8AJS         599 04 OH  NW8S          599 04 OH
QSO: 14127 RY 2019-09-28 1323 K8AJS         599 04 OH  SK7K          599 14 DX
QSO: 14128 RY 2019-09-28 1325 K8AJS         599 04 OH  IZ1PKV        599 15 DX
QSO: 14130 RY 2019-09-28 1327 K8AJS         599 04 OH  CO0CHE        599 08 DX
QSO: 14135 RY 2019-09-28 1328 K8AJS         599 04 OH  AA5AU         599 04 LA
QSO: 14137 RY 2019-09-28 1329 K8AJS         599 04 OH  K3LR          599 05 PA
QSO: 14138 RY 2019-09-28 1330 K8AJS         599 04 OH  M7T           599 14 DX
QSO: 14141 RY 2019-09-28 1341 K8AJS         599 04 OH  FP/KV1J       599 05 DX
QSO: 14114 RY 2019-09-28 1346 K8AJS         599 04 OH  DK2OY         599 14 DX
QSO: 14114 RY 2019-09-28 1346 K8AJS         599 04 OH  N5RLM         599 04 LA
