START-OF-LOG: 3.0
CONTEST: CQ-WW-SSB
CALLSIGN: OH1XFE
LOCATION: DX
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
GRID-LOCATOR:
CLAIMED-SCORE: 86304
NAME: Elias Viitanen
OPERATORS: OH1XFE
CLUB:
CREATED-BY: N1MM Logger+ 1.0.7591.0
SOAPBOX: Thanks to everybody... we keep always fun. Great weekend!
QSO:  1860 PH 2019-10-27 1559 OH1XFE        59  15     SO4M          59  15
QSO:  1882 PH 2019-10-27 1603 OH1XFE        59  15     SN7D          59  15
QSO:  7193 PH 2019-10-27 1620 OH1XFE        59  15     OM0M          59  15
QSO:  7187 PH 2019-10-27 1622 OH1XFE        59  15     S53M          59  15
QSO:  7146 PH 2019-10-27 1632 OH1XFE        59  15     OT5L          59  14
QSO:  7130 PH 2019-10-27 1637 OH1XFE        59  15     DM4X          59  14
QSO:  7129 PH 2019-10-27 1639 OH1XFE        59  15     F5KOK         59  14
QSO:  7122 PH 2019-10-27 1642 OH1XFE        59  15     DG5TX         59  14
QSO:  7117 PH 2019-10-27 1643 OH1XFE        59  15     S51CK         59  15
QSO:  7089 PH 2019-10-27 1649 OH1XFE        59  15     DR5N          59  14
QSO:  7088 PH 2019-10-27 1651 OH1XFE        59  15     PI4M          59  14
QSO:  7085 PH 2019-10-27 1657 OH1XFE        59  15     OR4ACA        59  14
QSO:  7074 PH 2019-10-27 1659 OH1XFE        59  15     IV3UHL        59  15
QSO:  7069 PH 2019-10-27 1703 OH1XFE        59  15     PD0RWL        59  14
QSO:  7172 PH 2019-10-27 1716 OH1XFE        59  15     F1DHX         59  14
QSO:  7167 PH 2019-10-27 1718 OH1XFE        59  15     EF8R          59  33
QSO:  3607 PH 2019-10-27 1724 OH1XFE        59  15     IN3EQD        59  15
QSO:  3662 PH 2019-10-27 1819 OH1XFE        59  15     SP9RCL        59  15
QSO:  3709 PH 2019-10-27 1822 OH1XFE        59  15     RU4AA         59  16
QSO:  3713 PH 2019-10-27 1823 OH1XFE        59  15     EU1A          59  16
QSO:  1857 PH 2019-10-27 1922 OH1XFE        59  15     EU1WW         59  16
QSO:  1845 PH 2019-10-27 1926 OH1XFE        59  15     SQ1OD         59  15
QSO:  1860 PH 2019-10-27 1931 OH1XFE        59  15     M6T           59  14
QSO:  1882 PH 2019-10-27 1939 OH1XFE        59  15     RA3W          59  16
QSO:  7136 PH 2019-10-27 2005 OH1XFE        59  15     DP7D          59  14
QSO:  7115 PH 2019-10-27 2010 OH1XFE        59  15     IW1FRU        59  15
QSO:  7113 PH 2019-10-27 2011 OH1XFE        59  15     II2S          59  15
QSO:  7102 PH 2019-10-27 2013 OH1XFE        59  15     UB7K          59  16
QSO:  7099 PH 2019-10-27 2016 OH1XFE        59  15     R7AB          59  16
QSO:  7043 PH 2019-10-27 2020 OH1XFE        59  15     RC7KY         59  16
QSO:  1872 PH 2019-10-27 2032 OH1XFE        59  15     UA2FZ         59  15
QSO:  1870 PH 2019-10-27 2035 OH1XFE        59  15     RA3Y          59  16
QSO:  1897 PH 2019-10-27 2038 OH1XFE        59  15     DQ4W          59  14
QSO:  1905 PH 2019-10-27 2040 OH1XFE        59  15     LY2MM         59  15
QSO:  3603 PH 2019-10-27 2052 OH1XFE        59  15     DR7B          59  14
QSO:  3607 PH 2019-10-27 2054 OH1XFE        59  15     YO8BDW        59  20
QSO:  3643 PH 2019-10-27 2109 OH1XFE        59  15     IO3F          59  15
QSO:  3653 PH 2019-10-27 2112 OH1XFE        59  15     MI0SLE        59  14
QSO:  3673 PH 2019-10-27 2118 OH1XFE        59  15     S54ZZ         59  15
QSO:  1887 PH 2019-10-27 2306 OH1XFE        59  15     SP3GTS        59  15
QSO:  1881 PH 2019-10-27 2316 OH1XFE        59  15     ES9C          59  15
END-OF-LOG:
