START-OF-LOG: 3.0
CONTEST: SAC-SSB
CALLSIGN: 9A9O
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
OPERATORS: 9A9O
CLAIMED-SCORE: 52608
CATEGORY-STATION: FIXED
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY: 
CATEGORY-MODE: SSB
NAME: Marijan Cosic
SOAPBOX: icom 756 pro2   ,ant: dipol 40/80 , mosley ta33m, 4el/28mhz
QSO: 14000 PH 2025-10-11 1515 9A9O          59     162 LA8HGA        59      49 0
QSO: 14000 PH 2025-10-11 1517 9A9O          59     163 OH1KYQ        59      14 0
QSO: 14000 PH 2025-10-11 1520 9A9O          59     164 OI3V          59     177 0
QSO: 14000 PH 2025-10-11 1523 9A9O          59     165 OZ8AGB        59      41 0
QSO:  7000 PH 2025-10-11 1528 9A9O          59     166 OZ0MF         59     211 0
QSO: 14000 PH 2025-10-11 1528 9A9O          59     167 OH3Z          59     155 0
QSO: 14000 PH 2025-10-11 1533 9A9O          59     168 LB2WD         59      10 0
QSO: 14000 PH 2025-10-11 1533 9A9O          59     169 OH5YL         59       4 0
QSO: 14000 PH 2025-10-11 1536 9A9O          59     170 SM9F          59      22 0
QSO: 14000 PH 2025-10-11 1538 9A9O          59     171 OH7K          59     163 0
QSO: 14000 PH 2025-10-11 1538 9A9O          59     172 OH1TD         59      84 0
QSO: 14000 PH 2025-10-11 1539 9A9O          59     173 OZ1D          59      62 0
QSO: 21000 PH 2025-10-11 1542 9A9O          59     174 SE4A          59     196 0
QSO: 21000 PH 2025-10-11 1543 9A9O          59     175 OG7A          59      96 0
QSO: 14000 PH 2025-10-11 1548 9A9O          59     176 OH8MBN        59      24 0
QSO: 21000 PH 2025-10-11 1551 9A9O          59     177 OZ1T          59      56 0
QSO: 14000 PH 2025-10-11 1552 9A9O          59     178 OH2HEX        59      45 0
QSO: 14000 PH 2025-10-11 1557 9A9O          59     179 SM6BDW        59      46 0
QSO: 21000 PH 2025-10-11 1557 9A9O          59     180 LC6C          59     206 0
QSO: 21000 PH 2025-10-11 1558 9A9O          59     181 LC7W          59     119 0
QSO: 14000 PH 2025-10-11 1559 9A9O          59     182 8S0C          59     167 0
QSO: 14000 PH 2025-10-11 1601 9A9O          59     183 OZ0MF         59     255 0
QSO: 14000 PH 2025-10-11 1603 9A9O          59     184 LA2GKA        59      27 0
QSO: 14000 PH 2025-10-11 1606 9A9O          59     185 OH8WR         59     187 0
QSO: 14000 PH 2025-10-11 1609 9A9O          59     186 SE5N          59      46 0
QSO: 14000 PH 2025-10-11 1610 9A9O          59     187 OG7A          59     145 0
QSO: 21000 PH 2025-10-11 1610 9A9O          59     188 SK6D          59     210 0
QSO: 21000 PH 2025-10-11 1614 9A9O          59     189 SM6NOC        59      17 0
QSO: 14000 PH 2025-10-11 1620 9A9O          59     190 OZ4HJ         59      18 0
QSO: 14000 PH 2025-10-11 1623 9A9O          59     191 OH2N          59      95 0
QSO: 21000 PH 2025-10-11 1628 9A9O          59     192 SC5C          59     254 0
QSO: 21000 PH 2025-10-11 1629 9A9O          59     193 OH3RF         59     174 0
QSO: 21000 PH 2025-10-11 1630 9A9O          59     194 SK6BA         59     166 0
QSO: 14000 PH 2025-10-11 1631 9A9O          59     195 OG100AA       59     172 0
QSO: 14000 PH 2025-10-11 1635 9A9O          59     196 SC5C          59     261 0
QSO: 14000 PH 2025-10-11 1636 9A9O          59     197 OH2KI         59     149 0
QSO: 14000 PH 2025-10-11 1641 9A9O          59     198 LB1LG         59       7 0
QSO: 21000 PH 2025-10-11 1643 9A9O          59     199 SE5N          59      92 0
QSO: 21000 PH 2025-10-11 1645 9A9O          59     200 OH5GIO        59      66 0
QSO:  7000 PH 2025-10-11 1651 9A9O          59     201 OI5AY         59       8 0
QSO: 21000 PH 2025-10-11 1651 9A9O          59     202 SM5EPO        59     180 0
QSO:  7000 PH 2025-10-11 1706 9A9O          59     203 SM4ONW        59     277 0
QSO:  7000 PH 2025-10-11 1707 9A9O          59     204 OG3B          59     391 0
QSO:  7000 PH 2025-10-11 1707 9A9O          59     205 OG6N          59     356 0
QSO: 21000 PH 2025-10-11 1708 9A9O          59     206 OI3V          59     315 0
QSO:  7000 PH 2025-10-11 1714 9A9O          59     207 OG5B          59     113 0
QSO:  7000 PH 2025-10-11 1715 9A9O          59     208 SE5E          59     441 0
QSO:  7000 PH 2025-10-11 1716 9A9O          59     209 OH2CV         59      20 0
QSO:  7000 PH 2025-10-11 1718 9A9O          59     210 OZ3PY         59     154 0
QSO: 14000 PH 2025-10-11 1720 9A9O          59     211 SM5INC        59     272 0
QSO:  7000 PH 2025-10-11 1725 9A9O          59     212 OH0V          59     334 0
QSO:  7000 PH 2025-10-11 1726 9A9O          59     213 OH8K          59     377 0
QSO:  7000 PH 2025-10-11 1727 9A9O          59     214 OH6OS         59     317 0
QSO: 14000 PH 2025-10-11 1730 9A9O          59     215 OH4BCS        59     329 0
QSO:  7000 PH 2025-10-11 1731 9A9O          59     216 OH1Z          59     249 0
QSO:  7000 PH 2025-10-11 1734 9A9O          59     217 8S8S          59     402 0
QSO:  7000 PH 2025-10-11 1734 9A9O          59     218 LB4UH         59     219 0
QSO:  7000 PH 2025-10-11 1735 9A9O          59     219 OH2XX         59     409 0
QSO:  7000 PH 2025-10-11 1737 9A9O          59     220 OH2LZC        59      20 0
QSO: 14000 PH 2025-10-11 1738 9A9O          59     221 SM5EPO        59     231 0
QSO:  7000 PH 2025-10-11 1739 9A9O          59     222 OG1F          59     631 0
QSO: 14000 PH 2025-10-11 1740 9A9O          59     223 SM6MVE        59     175 0
QSO:  7000 PH 2025-10-11 1745 9A9O          59     224 SK6BA         59     203 0
QSO:  7000 PH 2025-10-11 1746 9A9O          59     225 SJ2W          59     665 0
QSO:  7000 PH 2025-10-11 1808 9A9O          59     226 OH1NA         59     392 0
QSO:  7000 PH 2025-10-11 1809 9A9O          59     227 OH6RX         59     661 0
QSO:  7000 PH 2025-10-11 1810 9A9O          59     228 OG5O          59     385 0
QSO:  7000 PH 2025-10-11 1812 9A9O          59     229 SM5EPO        59     270 0
QSO:  7000 PH 2025-10-11 1813 9A9O          59     230 OH6DX         59     520 0
QSO:  7000 PH 2025-10-11 1814 9A9O          59     231 8S0C          59     323 0
QSO:  7000 PH 2025-10-11 1815 9A9O          59     232 SA0IAT        59     260 0
QSO: 14000 PH 2025-10-11 1817 9A9O          59     233 SM0D          59     123 0
QSO:  7000 PH 2025-10-11 1819 9A9O          59     234 LN2T          59      39 0
QSO:  7000 PH 2025-10-11 1824 9A9O          59     235 OH2T          59     541 0
QSO:  7000 PH 2025-10-11 1825 9A9O          59     236 LC6C          59     309 0
QSO:  7000 PH 2025-10-11 1831 9A9O          59     237 OH2R          59     557 0
QSO: 14000 PH 2025-10-11 1831 9A9O          59     238 OH8TS         59      28 0
QSO:  7000 PH 2025-10-11 1832 9A9O          59     239 SB7S          59     352 0
QSO:  7000 PH 2025-10-11 1837 9A9O          59     240 LA8HGA        59     183 0
QSO:  7000 PH 2025-10-11 1839 9A9O          59     241 LB1UK         59     178 0
QSO: 14000 PH 2025-10-11 1840 9A9O          59     242 OZ2PBS        59      84 0
QSO:  7000 PH 2025-10-11 1845 9A9O          59     243 LB5GI         59      44 0
QSO:  7000 PH 2025-10-11 1846 9A9O          59     244 OH2OA         59     284 0
QSO:  7000 PH 2025-10-11 1847 9A9O          59     245 SE0X          59     479 0
QSO:  7000 PH 2025-10-11 1848 9A9O          59     246 SG0X          59     455 0
QSO:  7000 PH 2025-10-11 1849 9A9O          59     247 SC5C          59     357 0
QSO:  7000 PH 2025-10-11 1850 9A9O          59     248 OH2KI         59     260 0
QSO:  3500 PH 2025-10-11 1852 9A9O          59     249 OH0V          59     370 0
QSO:  3500 PH 2025-10-11 1854 9A9O          59     250 SB7S          59     382 0
QSO:  7000 PH 2025-10-11 1856 9A9O          59     251 SD6D          59     127 0
QSO:  7000 PH 2025-10-11 1858 9A9O          59     252 SM8T          59     282 0
QSO:  7000 PH 2025-10-11 1901 9A9O          59     253 OH2N          59     165 0
