START-OF-LOG:  3.0
CREATED-BY:    SD by EI5DI
CONTEST:       CQ-WPX-CW
CALLSIGN:      GW0VSW
CATEGORY-OPERATOR:  SINGLE-OP
CATEGORY-ASSISTED:  NON-ASSISTED
CERTIFICATE:   YES
CATEGORY-BAND: ALL
CATEGORY-POWER:  QRP
CATEGORY-MODE: CW
CATEGORY-STATION:  FIXED
CATEGORY-TRANSMITTER:  ONE
CLUB:          RSGB CONTEST CLUB
LOCATION:      DX
CLAIMED-SCORE: 143429
NAME:          Carl Mason
OPERATORS:     GW0VSW
SOAPBOX:       Thanks to everyone who managed to copy my 5w
QSO: 14000 CW 2019-05-26 1953 GW0VSW        599  318   FY5KE         599 1340
QSO: 14000 CW 2019-05-26 1956 GW0VSW        599  319   LZ3FN         599 2338
QSO: 14000 CW 2019-05-26 2007 GW0VSW        599  320   E7DX          599 9693
QSO: 14000 CW 2019-05-26 2013 GW0VSW        599  321   HG5A          599 3480
QSO: 14000 CW 2019-05-26 2014 GW0VSW        599  322   HB5E          599 1339
QSO:  3500 CW 2019-05-26 2023 GW0VSW        599  323   EU1WW         599 3203
QSO:  3500 CW 2019-05-26 2025 GW0VSW        599  324   DL5JQ         599  464
QSO:  3500 CW 2019-05-26 2028 GW0VSW        599  325   PC2L          599 2411
QSO:  7000 CW 2019-05-26 2039 GW0VSW        599  326   F5PRH         599  991
QSO:  7000 CW 2019-05-26 2046 GW0VSW        599  327   HA3MU         599  563
QSO:  7000 CW 2019-05-26 2048 GW0VSW        599  328   IK1YDB        599  221
QSO:  7000 CW 2019-05-26 2049 GW0VSW        599  329   DL0UM         599 1898
QSO:  7000 CW 2019-05-26 2051 GW0VSW        599  330   S58J          599  504
QSO:  7000 CW 2019-05-26 2052 GW0VSW        599  331   PA4O          599 2148
QSO:  7000 CW 2019-05-26 2054 GW0VSW        599  332   DL2ZBO        599  196
QSO:  7000 CW 2019-05-26 2106 GW0VSW        599  333   P33W          599 1747
QSO:  7000 CW 2019-05-26 2110 GW0VSW        599  334   DM6V          599 3097
QSO:  7000 CW 2019-05-26 2112 GW0VSW        599  335   OR2F          599 2156
QSO:  7000 CW 2019-05-26 2115 GW0VSW        599  336   HA8A          599 2843
QSO:  7000 CW 2019-05-26 2120 GW0VSW        599  337   5Q6EE         599 1528
QSO:  7000 CW 2019-05-26 2121 GW0VSW        599  338   YL5X          599 1225
QSO:  7000 CW 2019-05-26 2125 GW0VSW        599  339   EU2WW         599 3258
QSO:  7000 CW 2019-05-26 2128 GW0VSW        599  340   EW8W          599 1452
QSO:  1800 CW 2019-05-26 2150 GW0VSW        599  341   DP6A          599 2629
QSO:  3500 CW 2019-05-26 2158 GW0VSW        599  342   PG2AA         599 1185
QSO:  3500 CW 2019-05-26 2159 GW0VSW        599  343   ES5RR         599 3884
QSO:  3500 CW 2019-05-26 2206 GW0VSW        599  344   OL8M          599 2677
QSO:  3500 CW 2019-05-26 2208 GW0VSW        599  345   PA4O          599 2204
QSO:  3500 CW 2019-05-26 2211 GW0VSW        599  346   DF5BM         599 1027
QSO:  3500 CW 2019-05-26 2214 GW0VSW        599  347   OP5T          599  248
QSO:  3500 CW 2019-05-26 2221 GW0VSW        599  348   M0DHO         599  774
QSO:  3500 CW 2019-05-26 2224 GW0VSW        599  349   R5WW          599  587
QSO:  3500 CW 2019-05-26 2227 GW0VSW        599  350   OG7A          599 2802
QSO:  3500 CW 2019-05-26 2235 GW0VSW        599  351   OH10A         599 1381
QSO:  3500 CW 2019-05-26 2236 GW0VSW        599  352   OK1OA         599  994
QSO:  3500 CW 2019-05-26 2240 GW0VSW        599  353   LY2W          599  673
QSO:  3500 CW 2019-05-26 2243 GW0VSW        599  354   9A1A          599 1062
QSO:  7000 CW 2019-05-26 2255 GW0VSW        599  355   DP7D          599 2365
QSO:  7000 CW 2019-05-26 2257 GW0VSW        599  356   VY2TT         599 3772
QSO:  7000 CW 2019-05-26 2303 GW0VSW        599  357   DR0W          599 4242
QSO:  7000 CW 2019-05-26 2304 GW0VSW        599  358   EA1WW         599 3321
QSO:  7000 CW 2019-05-26 2305 GW0VSW        599  359   WC1M          599 2613
QSO:  7000 CW 2019-05-26 2309 GW0VSW        599  360   ZR2A/4        599 1091
QSO:  7000 CW 2019-05-26 2312 GW0VSW        599  361   LY2W          599 1531
QSO:  7000 CW 2019-05-26 2323 GW0VSW        599  362   CR6K          599 2750
QSO:  7000 CW 2019-05-26 2330 GW0VSW        599  363   AM70E         599  514
QSO:  7000 CW 2019-05-26 2336 GW0VSW        599  364   OM3BS         599 3607
QSO:  7000 CW 2019-05-26 2337 GW0VSW        599  365   OL8M          599 2892
QSO:  7000 CW 2019-05-26 2340 GW0VSW        599  366   EM2Q          599 3541
QSO:  7000 CW 2019-05-26 2345 GW0VSW        599  367   HG6N          599 4542
END-OF-LOG:
