START-OF-LOG: 3.0
LOCATION: DX
CALLSIGN: ON6AT
CLUB: UBA - ZLZ
CONTEST: CQ-WW-CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-MODE: CW
CATEGORY-POWER: LOW
CATEGORY-STATION: FIXED
CATEGORY-TIME: 12-HOURS
CATEGORY-TRANSMITTER: ONE
CLAIMED-SCORE: 125060
OPERATORS: ON6AT
OFFTIME:
SOAPBOX: Yeasu FT-950 50w  ANT (10-40m = R8) (80m = W8010)
QSO:  3522 CW 2013-11-24 1924 ON6AT         599 14     9A7A          599 15
QSO:  3523 CW 2013-11-24 1926 ON6AT         599 14     RA1TV         599 16
QSO:  3523 CW 2013-11-24 1927 ON6AT         599 14     S57AL         599 15
QSO:  3525 CW 2013-11-24 1929 ON6AT         599 14     DF0HQ         599 14
QSO:  3525 CW 2013-11-24 1930 ON6AT         599 14     YL6W          599 15
QSO:  3527 CW 2013-11-24 1934 ON6AT         599 14     PI4CC         599 14
QSO:  3528 CW 2013-11-24 1936 ON6AT         599 14     HB9CXZ        599 14
QSO:  3529 CW 2013-11-24 1938 ON6AT         599 14     EW4AA         599 16
QSO:  3532 CW 2013-11-24 1939 ON6AT         599 14     9A282TN       599 15
QSO:  3533 CW 2013-11-24 1940 ON6AT         599 14     LY4A          599 15
END-OF-LOG:
