START-OF-LOG: 3.0
CALLSIGN: KX7L
CONTEST: CQ-WPX-RTTY
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: RTTY
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY: TB-WIRES
CLAIMED-SCORE: 60792
NAME: Charlie Panek
LOCATION: WWA
OPERATORS: KX7L
CLUB: Western Washington DX Club
CERTIFICATE: NO
CREATED-BY: N1MM Logger+ 1.0.7047.0
SOAPBOX: It was the first really sunny weekend in a long time here in the
SOAPBOX: PNW, so it was  hard getting BIC time in on the contest.  Friday
SOAPBOX: night condx seemed so-so, but Saturday night was much better.
SOAPBOX: Sunday things were hopping on 20m!  Thanks for the QSO's!
QSO:  3584 RY 2018-02-11 0559 KX7L          599 0158   WX6V          599 0112
QSO:  3584 RY 2018-02-11 0601 KX7L          599 0159   K3MJW         599 1128
QSO:  3584 RY 2018-02-11 0604 KX7L          599 0160   VA3MJR        599 0369
QSO:  3584 RY 2018-02-11 0605 KX7L          599 0161   N2BJ          599 0678
QSO:  3584 RY 2018-02-11 0606 KX7L          599 0162   W6RC          599 0403
QSO:  3584 RY 2018-02-11 0610 KX7L          599 0163   AF7NX         599 0139
QSO:  3584 RY 2018-02-11 0611 KX7L          599 0164   WA8WZG        599 0263
QSO:  3584 RY 2018-02-11 0612 KX7L          599 0165   KE3K          599 0204
QSO:  3584 RY 2018-02-11 0612 KX7L          599 0166   W9PA          599 0312
QSO:  3584 RY 2018-02-11 0612 KX7L          599 0167   K6LRN         599 0508
QSO:  3584 RY 2018-02-11 0613 KX7L          599 0168   N0AJN         599 0064
QSO:  3584 RY 2018-02-11 0613 KX7L          599 0169   WU6TT         599 0909
QSO:  3584 RY 2018-02-11 0614 KX7L          599 0170   WS0I          599 0186
QSO: 14090 RY 2018-02-11 1709 KX7L          599 0171   N5HC          599 0997
QSO: 14088 RY 2018-02-11 1714 KX7L          599 0172   KL7SB         599 1010
QSO: 14091 RY 2018-02-11 1715 KX7L          599 0173   WV6I          599 0270
QSO: 14100 RY 2018-02-11 2041 KX7L          599 0174   AA4CF         599 0214
QSO: 14101 RY 2018-02-11 2042 KX7L          599 0175   VE3UTT        599 0322
QSO: 14103 RY 2018-02-11 2044 KX7L          599 0176   NY3DX         599 0362
QSO: 14105 RY 2018-02-11 2045 KX7L          599 0177   N7WY          599 0819
QSO: 14106 RY 2018-02-11 2046 KX7L          599 0178   W7PU          599 0364
QSO: 14107 RY 2018-02-11 2048 KX7L          599 0179   W2CG          599 0098
QSO: 14109 RY 2018-02-11 2048 KX7L          599 0180   K5MXG         599 0496
QSO: 14109 RY 2018-02-11 2049 KX7L          599 0181   KF0UR         599 0262
QSO: 14110 RY 2018-02-11 2051 KX7L          599 0182   VE2GSO        599 0540
QSO: 14113 RY 2018-02-11 2053 KX7L          599 0183   AB0LR         599 1458
QSO: 14118 RY 2018-02-11 2056 KX7L          599 0184   HP3SS         599 1107
QSO: 14119 RY 2018-02-11 2057 KX7L          599 0185   K0FX          599 0560
QSO: 14123 RY 2018-02-11 2100 KX7L          599 0186   KK7PR         599 1050
QSO: 14125 RY 2018-02-11 2102 KX7L          599 0187   AD5XD         599 1050
QSO: 14127 RY 2018-02-11 2103 KX7L          599 0188   KT1I          599 0440
QSO: 14130 RY 2018-02-11 2104 KX7L          599 0189   KF6RY         599 0316
QSO: 14132 RY 2018-02-11 2106 KX7L          599 0190   K8RCT         599 0329
QSO: 21081 RY 2018-02-11 2108 KX7L          599 0191   WC7Q          599 0599
QSO: 21082 RY 2018-02-11 2108 KX7L          599 0192   V31VP         599 1727
QSO: 21084 RY 2018-02-11 2110 KX7L          599 0193   ZP5CGL        599 0146
QSO: 21086 RY 2018-02-11 2113 KX7L          599 0194   XE1H          599 0738
