START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: CQ-WPX-SSB
CALLSIGN: KA3MTT
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: KA3MTT
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for CQ-WPX-SSB CQWPX/ph/2018.
QSO: 14187 PH 2018-03-25 1937 KA3MTT        59 0118 PJ2T          59 1246
QSO: 14303 PH 2018-03-25 1940 KA3MTT        59 0119 VE6FI         59 1123
QSO:  7198 PH 2018-03-25 2013 KA3MTT        59 0121 KD4RH         59 0657
QSO:  7213 PH 2018-03-25 2015 KA3MTT        59 0122 KG4USN        59 0604
QSO: 14268 PH 2018-03-25 2024 KA3MTT        59 124 IR4M          59 3702
QSO: 14296 PH 2018-03-25 2026 KA3MTT        59 016 DL2ARD        59 2555
QSO: 14279 PH 2018-03-25 2028 KA3MTT        59 127 EF8R          59 7157
QSO: 14000 PH 2018-03-25 2030 KA3MTT        59 0128 NK7L          59 1065
QSO:  7178 PH 2018-03-25 2118 KA3MTT        59 0129 AA4AQ         59 2302
QSO:  7244 PH 2018-03-25 2121 KA3MTT        59 0130 K2RB          59 0611
QSO:  7248 PH 2018-03-25 2122 KA3MTT        59 131 NF3R          59 858
QSO:  7229 PH 2018-03-25 2124 KA3MTT        59 0132 K1SM          59 0471
QSO:  7217 PH 2018-03-25 2125 KA3MTT        59 0133 K8AO          59 0650
QSO:  7176 PH 2018-03-25 2128 KA3MTT        59 0134 VC2A          59 2840
END-OF-LOG:
