START-OF-LOG: 2.0
ARRL-SECTION: DX
CALLSIGN: YU7KW
CATEGORY: SINGLE-OP ALL LOW MIXED
CATEGORY-OVERLAY:
CLAIMED-SCORE: 71064
CLUB: YU DX C
CONTEST: EUHFC
OPERATORS:
NAME: Zoran Pekmezovic
ADDRESS: P.O.Box 36 26101 Pancevo Serbia
ADDRESS:
SOAPBOX: Enjoyable contest despite poor antennas only for 40/20m bands.
QSO: 14054 CW 2013-08-03 1928 YU7KW         599 75     UT5UGR        599 85
QSO: 14054 CW 2013-08-03 1928 YU7KW         599 75     OK1DQP        599 88
QSO: 14054 CW 2013-08-03 1929 YU7KW         599 75     YL2CV         599 73
QSO: 14054 CW 2013-08-03 1929 YU7KW         599 75     LZ1DQ         599 64
QSO: 14054 CW 2013-08-03 1930 YU7KW         599 75     LZ2NG         599 89
QSO:  7033 CW 2013-08-03 1932 YU7KW         599 75     YT1AA         599 72
QSO:  7030 CW 2013-08-03 1933 YU7KW         599 75     YU0T          599 82
QSO:  7009 CW 2013-08-03 1935 YU7KW         599 75     OK5M          599 80
QSO:  7011 CW 2013-08-03 1935 YU7KW         599 75     UA5C          599 93
QSO:  7011 CW 2013-08-03 1936 YU7KW         599 75     HA1ZN         599 75
QSO:  7013 CW 2013-08-03 1936 YU7KW         599 75     UI2K          599 82
QSO:  7020 CW 2013-08-03 1937 YU7KW         599 75     UY5ZZ         599 67
QSO:  7023 CW 2013-08-03 1938 YU7KW         599 75     RW1A          599 84
QSO:  7024 CW 2013-08-03 1939 YU7KW         599 75     HA6OA         599 73
QSO:  7026 CW 2013-08-03 1940 YU7KW         599 75     RY3D          599 88
QSO:  7029 CW 2013-08-03 1941 YU7KW         599 75     LZ9W          599 89
QSO:  7030 CW 2013-08-03 1943 YU7KW         599 75     IQ1RY         599 07
QSO:  7035 CW 2013-08-03 1944 YU7KW         599 75     ES5RR         599 82
QSO:  7036 CW 2013-08-03 1944 YU7KW         599 75     UR3CMA        599 99
QSO:  7037 CW 2013-08-03 1946 YU7KW         599 75     UX3HA         599 72
QSO:  7038 CW 2013-08-03 1947 YU7KW         599 75     R3ZV          599 66
QSO:  7039 CW 2013-08-03 1948 YU7KW         599 75     HA6NL         599 72
QSO:  7039 CW 2013-08-03 1948 YU7KW         599 75     LY2NK         599 59
QSO:  7037 CW 2013-08-03 1949 YU7KW         599 75     RV6LCI        599 90
QSO:  7029 CW 2013-08-03 1950 YU7KW         599 75     OK1FPS        599 89
QSO:  7019 CW 2013-08-03 1952 YU7KW         599 75     G3SJJ         599 63
QSO:  7018 CW 2013-08-03 1953 YU7KW         599 75     UT5UGR        599 85
QSO:  7018 CW 2013-08-03 1954 YU7KW         599 75     DL6KVA        599 84
QSO:  7033 CW 2013-08-03 1958 YU7KW         599 75     UY2IG         599 82
QSO:  7036 CW 2013-08-03 1959 YU7KW         599 75     SP3ASN        599 75
QSO:  7037 CW 2013-08-03 2002 YU7KW         599 75     SP9H          599 65
QSO:  7035 CW 2013-08-03 2003 YU7KW         599 75     I2CZQ         599 63
QSO:  7030 CW 2013-08-03 2007 YU7KW         599 75     YL3FT         599 05
QSO:  7028 CW 2013-08-03 2008 YU7KW         599 75     EU1A          599 95
QSO:  7026 CW 2013-08-03 2009 YU7KW         599 75     LY3BN         599 84
QSO:  7008 CW 2013-08-03 2010 YU7KW         599 75     YU2A          599 64
QSO:  7009 CW 2013-08-03 2013 YU7KW         599 75     UR7GO         599 72
QSO:  7008 CW 2013-08-03 2013 YU7KW         599 75     DK1NO         599 66
QSO:  7007 CW 2013-08-03 2014 YU7KW         599 75     YT0Z          599 75
QSO:  7011 CW 2013-08-03 2037 YU7KW         599 75     RL3A          599 01
QSO:  7009 CW 2013-08-03 2039 YU7KW         599 75     I3FIY         599 77
QSO:  7030 CW 2013-08-03 2043 YU7KW         599 75     YO9AGI        599 64
QSO:  7034 CW 2013-08-03 2045 YU7KW         599 75     YO9HP         599 76
QSO:  7007 CW 2013-08-03 2048 YU7KW         599 75     DK6XZ         599 82
QSO:  7016 CW 2013-08-03 2051 YU7KW         599 75     R3QA          599 82
QSO:  7017 CW 2013-08-03 2051 YU7KW         599 75     ES7GM         599 98
QSO:  7020 CW 2013-08-03 2052 YU7KW         599 75     S50R          599 65
QSO:  7020 CW 2013-08-03 2053 YU7KW         599 75     OK2QX         599 62
QSO:  7025 CW 2013-08-03 2055 YU7KW         599 75     SM6FKF        599 72
QSO:  7028 CW 2013-08-03 2057 YU7KW         599 75     S59ABC        599 74
QSO:  7037 CW 2013-08-03 2103 YU7KW         599 75     EW1EO         599 81
QSO:  7027 CW 2013-08-03 2106 YU7KW         599 75     UT7E          599 07
QSO:  7026 CW 2013-08-03 2106 YU7KW         599 75     UA2FL         599 64
QSO:  7031 CW 2013-08-03 2110 YU7KW         599 75     9A5Y          599 98
QSO:  7031 CW 2013-08-03 2110 YU7KW         599 75     EU3NA         599 75
QSO:  3527 CW 2013-08-03 2113 YU7KW         599 75     HA1ZN         599 75
QSO:  3535 CW 2013-08-03 2114 YU7KW         599 75     HG3M          599 75
QSO:  3533 CW 2013-08-03 2115 YU7KW         599 75     OM5WW         599 89
QSO:  3526 CW 2013-08-03 2116 YU7KW         599 75     YT8A          599 70
QSO:  3518 CW 2013-08-03 2118 YU7KW         599 75     YP8T          599 84
QSO:  3543 CW 2013-08-03 2120 YU7KW         599 75     LZ1YQ         599 79
QSO:  3534 CW 2013-08-03 2120 YU7KW         599 75     YU1KX         599 76
QSO:  3529 CW 2013-08-03 2121 YU7KW         599 75     OK5M          599 80
QSO:  1828 CW 2013-08-03 2123 YU7KW         599 75     HA3NU         599 72
QSO:  1821 CW 2013-08-03 2126 YU7KW         599 75     LZ9W          599 89
QSO:  3536 CW 2013-08-03 2129 YU7KW         599 75     YO5PBF        599 97
QSO:  3539 CW 2013-08-03 2130 YU7KW         599 75     S50A          599 63
QSO:  3532 CW 2013-08-03 2131 YU7KW         599 75     YQ6A          599 74
QSO:  7027 CW 2013-08-03 2140 YU7KW         599 75     SQ9IDE        599 99
QSO:  7027 CW 2013-08-03 2141 YU7KW         599 75     UR5GAW        599 01
QSO:  7027 CW 2013-08-03 2141 YU7KW         599 75     RA1TV         599 71
QSO:  7027 CW 2013-08-03 2142 YU7KW         599 75     LY2FN         599 78
QSO:  7027 CW 2013-08-03 2142 YU7KW         599 75     G4RKO         599 82
QSO:  7027 CW 2013-08-03 2143 YU7KW         599 75     I0GOJ         599 75
QSO:  7027 CW 2013-08-03 2144 YU7KW         599 75     TF3VS/P       599 97
QSO:  7027 CW 2013-08-03 2144 YU7KW         599 75     R7MM          599 68
QSO:  7027 CW 2013-08-03 2144 YU7KW         599 75     YR6M          599 75
QSO:  7027 CW 2013-08-03 2145 YU7KW         599 75     ON6LS         599 07
QSO:  7027 CW 2013-08-03 2145 YU7KW         599 75     US1VB         599 75
QSO:  7027 CW 2013-08-03 2146 YU7KW         599 75     S53V          599 65
QSO:  7027 CW 2013-08-03 2147 YU7KW         599 75     RZ3QS         599 80
QSO:  7027 CW 2013-08-03 2147 YU7KW         599 75     PA3HCC        599 95
QSO:  7027 CW 2013-08-03 2147 YU7KW         599 75     DL9CW         599 65
QSO:  7027 CW 2013-08-03 2148 YU7KW         599 75     S52WD         599 80
QSO:  7027 CW 2013-08-03 2148 YU7KW         599 75     DL3KWR        599 75
QSO:  7027 CW 2013-08-03 2148 YU7KW         599 75     DK0MM         599 60
QSO:  7027 CW 2013-08-03 2149 YU7KW         599 75     UT3EK         599 74
QSO:  7027 CW 2013-08-03 2149 YU7KW         599 75     UX1AA         599 82
QSO:  7027 CW 2013-08-03 2150 YU7KW         599 75     IV3DRP        599 85
QSO:  7027 CW 2013-08-03 2150 YU7KW         599 75     UT5IZ         599 72
QSO:  7027 CW 2013-08-03 2152 YU7KW         599 75     OH1NOA        599 86
QSO:  7028 CW 2013-08-03 2154 YU7KW         599 75     UA2FP         599 68
QSO:  7025 CW 2013-08-03 2154 YU7KW         599 75     RN3BO         599 89
QSO:  3521 CW 2013-08-03 2155 YU7KW         599 75     YT0Z          599 75
QSO:  7018 CW 2013-08-03 2156 YU7KW         599 75     DL1EAL        599 78
QSO:  7015 CW 2013-08-03 2157 YU7KW         599 75     UA4PDO        599 98
END-OF-LOG:
