START-OF-LOG: 3.0
CALLSIGN: UA9AL
CLUB:  SOUTH URAL CONTEST CLUB
CONTEST: CQ-WW-CW
CATEGORY-ASSISTED: ASSISTED
CLAIMED-SCORE: 1148626
OPERATORS: UA9AL
NAME: ANDREJ SELIN
CREATED-BY: N1MM Logger V11.7.5
LOCATION: DX
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: CW
CATEGORY-STATION: FIXED
QSO:  7008 CW 2012-11-24 0531 UA9AL         599 17     UT0AZA        599 16
QSO:  7012 CW 2012-11-24 0534 UA9AL         599 17     YL2TB         599 15
QSO:  7015 CW 2012-11-24 0537 UA9AL         599 17     TC2M          599 20
QSO:  7017 CW 2012-11-24 0538 UA9AL         599 17     K0DQ          599 05
QSO:  7020 CW 2012-11-24 0539 UA9AL         599 17     R3QA          599 16
QSO:  7023 CW 2012-11-24 0541 UA9AL         599 17     SP2LNW        599 15
QSO:  7024 CW 2012-11-24 0542 UA9AL         599 17     HB9CA         599 14
QSO:  7027 CW 2012-11-24 0543 UA9AL         599 17     DR4A          599 14
QSO:  7031 CW 2012-11-24 0547 UA9AL         599 17     M2G           599 14
QSO:  7032 CW 2012-11-24 0548 UA9AL         599 17     RZ3QM         599 16
QSO:  7040 CW 2012-11-24 0550 UA9AL         599 17     HG5C          599 15
QSO:  7042 CW 2012-11-24 0551 UA9AL         599 17     SJ2W          599 14
QSO:  7043 CW 2012-11-24 0554 UA9AL         599 17     LZ1QN         599 20
QSO:  7044 CW 2012-11-24 0555 UA9AL         599 17     RM3F          599 16
QSO:  7050 CW 2012-11-24 0559 UA9AL         599 17     IR2R          599 15
QSO:  7052 CW 2012-11-24 0600 UA9AL         599 17     UA5B          599 16
QSO:  7060 CW 2012-11-24 0601 UA9AL         599 17     SP4Z          599 15
QSO:  7066 CW 2012-11-24 0606 UA9AL         599 17     ER3DX         599 16
QSO: 14001 CW 2012-11-24 0607 UA9AL         599 17     YT1A          599 15
QSO: 14002 CW 2012-11-24 0608 UA9AL         599 17     IT9LKX        599 15
QSO: 14003 CW 2012-11-24 0611 UA9AL         599 17     RW0AJ         599 18
QSO: 14005 CW 2012-11-24 0616 UA9AL         599 17     OH0V          599 15
QSO: 14007 CW 2012-11-24 0617 UA9AL         599 17     LZ5R          599 20
QSO: 14008 CW 2012-11-24 0618 UA9AL         599 17     JA5FDJ        599 25
QSO: 14009 CW 2012-11-24 0618 UA9AL         599 17     OM8A          599 15
QSO: 14010 CW 2012-11-24 0619 UA9AL         599 17     IR1X          599 15
QSO: 14011 CW 2012-11-24 0621 UA9AL         599 17     UA3DCW        599 16
QSO: 14011 CW 2012-11-24 0621 UA9AL         599 17     SP6ZC         599 15
QSO: 14011 CW 2012-11-24 0623 UA9AL         599 17     LZ1IKY        599 20
QSO: 14011 CW 2012-11-24 0623 UA9AL         599 17     UC7A          599 16
QSO: 14011 CW 2012-11-24 0624 UA9AL         599 17     US0HZ         599 16
QSO: 14011 CW 2012-11-24 0625 UA9AL         599 17     ER3DX         599 16
QSO: 14011 CW 2012-11-24 0626 UA9AL         599 17     RO1B          599 16
QSO: 14011 CW 2012-11-24 0627 UA9AL         599 17     UR7MZ         599 16
QSO: 14011 CW 2012-11-24 0628 UA9AL         599 17     M4A           599 14
QSO: 14012 CW 2012-11-24 0630 UA9AL         599 17     YR1C          599 20
QSO: 14012 CW 2012-11-24 0630 UA9AL         599 17     YT0A          599 15
QSO: 14013 CW 2012-11-24 0631 UA9AL         599 17     HA8IH         599 15
QSO: 14013 CW 2012-11-24 0631 UA9AL         599 17     YT4W          599 15
QSO: 14014 CW 2012-11-24 0632 UA9AL         599 17     SN5W          599 15
QSO: 14015 CW 2012-11-24 0633 UA9AL         599 17     US7IA         599 16
QSO: 14016 CW 2012-11-24 0634 UA9AL         599 17     HG1S          599 15
QSO: 14016 CW 2012-11-24 0634 UA9AL         599 17     DF0SQ         599 14
QSO: 14017 CW 2012-11-24 0636 UA9AL         599 17     RT0C          599 19
QSO: 14017 CW 2012-11-24 0636 UA9AL         599 17     TC2M          599 20
QSO: 14018 CW 2012-11-24 0636 UA9AL         599 17     OP4K          599 14
QSO: 14019 CW 2012-11-24 0637 UA9AL         599 17     OK2PQS        599 15
QSO: 14019 CW 2012-11-24 0638 UA9AL         599 17     DL9LM         599 14
QSO: 14019 CW 2012-11-24 0638 UA9AL         599 17     UA1ANA        599 16
QSO: 14019 CW 2012-11-24 0638 UA9AL         599 17     YL2CV         599 15
QSO: 14019 CW 2012-11-24 0639 UA9AL         599 17     RY3F          599 16
QSO: 14020 CW 2012-11-24 0641 UA9AL         599 17     YT7R          599 15
QSO: 14021 CW 2012-11-24 0642 UA9AL         599 17     RT3I          599 16
QSO: 14023 CW 2012-11-24 0645 UA9AL         599 17     4Z1DZ         599 20
QSO: 14022 CW 2012-11-24 0647 UA9AL         599 17     YT2W          599 15
QSO: 14023 CW 2012-11-24 0648 UA9AL         599 17     TC7X          599 20
