START-OF-LOG: 3.0
CALLSIGN: ZS6DX
CONTEST: CQ-WPX-CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: 15M
CATEGORY-POWER: QRP
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY: TB-WIRES
CLAIMED-SCORE:
CLUB:
LOCATION: DX
CREATED-BY: CQWPX Adif2Cabrillo Converter (LZ2FQ)
NAME: Rudi Venter
OPERATORS: ZS6DX
SOAPBOX: Always great to meet all the great contesters on the air.
QSO: 21006 CW 2015-05-30 1152  ZS6DX         599 111    K1RX          599 266    0
QSO: 21016 CW 2015-05-30 1154  ZS6DX         599 112    S57AW         599 735    0
QSO: 21020 CW 2015-05-30 1156  ZS6DX         599 113    LZ5R          599 612    0
QSO: 21030 CW 2015-05-30 1157  ZS6DX         599 114    RL4F          599 994    0
QSO: 21046 CW 2015-05-30 1200  ZS6DX         599 115    UZ2M          599 1041   0
QSO: 21068 CW 2015-05-30 1203  ZS6DX         599 116    EF5Y          599 734    0
QSO: 21003 CW 2015-05-30 1205  ZS6DX         599 117    EN4U          599 874    0
QSO: 21005 CW 2015-05-30 1206  ZS6DX         599 118    YL2SM         599 067    0
QSO: 21082 CW 2015-05-30 1214  ZS6DX         599 119    K2SSS         599 055    0
QSO: 21057 CW 2015-05-30 1215  ZS6DX         599 120    UA4CC         599 109    0
QSO: 21042 CW 2015-05-30 1220  ZS6DX         599 121    K9CT          599 124    0
QSO: 21009 CW 2015-05-30 1303  ZS6DX         599 122    KG0F          599 1336   0
QSO: 21017 CW 2015-05-30 1312  ZS6DX         599 123    K3WW          599 758    0
QSO: 21028 CW 2015-05-30 1316  ZS6DX         599 124    KN5A          599 1017   0
QSO: 21048 CW 2015-05-30 1318  ZS6DX         599 125    K3AJ          599 511    0
QSO: 21050 CW 2015-05-30 1320  ZS6DX         599 126    PR7DX         599 298    0
QSO: 21074 CW 2015-05-30 1322  ZS6DX         599 127    AD4TR         599 661    0
QSO: 21020 CW 2015-05-30 1327  ZS6DX         599 128    N4WW          599 320    0
QSO: 21023 CW 2015-05-30 1328  ZS6DX         599 129    MD4K          599 1517   0
QSO: 21031 CW 2015-05-30 1329  ZS6DX         599 130    RT0F          599 780    0
QSO: 21065 CW 2015-05-30 1335  ZS6DX         599 131    YT2W          599 734    0
QSO: 21079 CW 2015-05-30 1336  ZS6DX         599 132    7Z1JA         599 493    0
QSO: 21099 CW 2015-05-30 1339  ZS6DX         599 133    YT4B          599 397    0
QSO: 21016 CW 2015-05-30 1343  ZS6DX         599 134    DL0CS         599 408    0
QSO: 21032 CW 2015-05-30 1346  ZS6DX         599 135    9A1A          599 860    0
QSO: 21037 CW 2015-05-30 1349  ZS6DX         599 136    E7DX          599 1139   0
QSO: 21051 CW 2015-05-30 1351  ZS6DX         599 137    UA7K          599 1097   0
QSO: 21058 CW 2015-05-30 1354  ZS6DX         599 138    RT5Z          599 837    0
QSO: 21064 CW 2015-05-30 1357  ZS6DX         599 139    ET3W          599 2722   0
